name_x,year_x,brand,color,price_x,seller_name,seller_phone,seller_average_rating,seller_review_count,miles_x,distance_from_Madison,Exterior Color_x,Interior Color_x,Transmission_x,Drivetrain_x,VIN,id_x,name_y,make,model,year_y,price_y,miles_y,Exterior Color_y,Interior Color_y,Seller Name,Seller Phone,Transmission_y,Drivetrain_y,id_y
2014 Mercedes-Benz  C 300,2014,Mercedes-Benz,White,21995.0,Griffin Chevrolet,(414) 375-4241,4.8,57.0,39293.0,68,White,Black,7G-TRONIC PLUS 7-Speed Automatic,4Matic,WDDGF8AB9ER310538,34,Used 2014 Mercedes-Benz C-Class C 300 4MATIC Sport Sedan,Mercedes-Benz,C-Class,2014.0,21995.0,39293.0,White,Black,Griffin Chevrolet,(414) 434-5000,Automatic,All Wheel Drive,1940
2014 Mercedes-Benz  ML 550 4MATIC,2014,Mercedes-Benz,White,34333.0,BMW of Milwaukee North,(877) 591-3075,4.8,106.0,37645.0,73,Diamond White Metallic,Black,7-Speed Automatic,AWD,4JGDA7DB2EA364226,36,2014 Mercedes-Benz M-Class ML 550 SUV,Mercedes-Benz,M-Class,2014.0,34000.0,37645.0,White,TAN,Concours BMW,888-258-1784 888-258-6303,Automatic,All Wheel Drive,1957
2010 Mercedes-Benz  C 300,2010,Mercedes-Benz,White,10990.0,Runde Chevrolet,(888) 380-6201,4.8,108.0,93487.0,73,White,,7-Speed Automatic,AWD,WDDGF8BB2AF402701,37,Used 2010 Mercedes-Benz C-Class C 300 4MATIC Sport Sedan,Mercedes-Benz,C-Class,2010.0,10990.0,93487.0,White,Black,RUNDE CHEVROLET BUICK GMC,(877) 241-4358,Automatic,All Wheel Drive,1850
2014 Mercedes-Benz  GLK 350,2014,Mercedes-Benz,White,23994.0,INFINITI North Shore,(888) 675-1554,,,28493.0,73,Diamond White Metallic,Black,7-Speed Automatic,4Matic,WDCGG8JB3EG289120,38,Used 2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,Mercedes-Benz,GLK-Class,2014.0,23994.0,28493.0,,Black,Infiniti INTERNATIONAL INFINITI NORTH SHORE,877-549-8748,Automatic,All Wheel Drive,1963
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Black,28595.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,26764.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB5EB032122,40,2014 Mercedes-Benz E-Class E 350 Sedan,Mercedes-Benz,E-Class,2014.0,28595.0,26764.0,Black,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1996
2016 Mercedes-Benz  GLE 450 AMG,2016,Mercedes-Benz,Blue,58863.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,17181.0,74,Lunar Blue Metallic,Crystal Grey/Black,9-SPEED A/T,All Wheel Drive,4JGED6EB8GA044433,41,2016 Mercedes-Benz GLE-Class GLE 450 SUV,Mercedes-Benz,GLE-Class Coupe,2016.0,58863.0,17181.0,Lunar Blue Metallic,CRYSTAL GRAY/BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2028
2015 Mercedes-Benz  S 550,2015,Mercedes-Benz,White,82879.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,20810.0,74,Designo Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDXJ8FB8FA001201,42,2015 Mercedes-Benz S-Class S 550 Coupe,Mercedes-Benz,S-Class,2015.0,82879.0,20810.0,Diamond White,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1971
2015 Mercedes-Benz  C 350,2015,Mercedes-Benz,Red,29989.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25415.0,74,Mars Red,Sport Black,7-SPEED A/T,All Wheel Drive,WDDGJ8JB3FG369502,43,2015 Mercedes-Benz C-Class C 350 Coupe,Mercedes-Benz,C-Class,2015.0,29989.0,25415.0,Mars Red,SPORT BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2008
2015 Mercedes-Benz  CLA 250,2015,Mercedes-Benz,Black,24672.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,21970.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDSJ4GB2FN199137,44,2015 Mercedes-Benz CLA-Class CLA 250 Sedan,Mercedes-Benz,CLA-Class,2015.0,24672.0,21970.0,Black,BLACK,Umansky Motor Cars,877-650-2166,Automated Manual,All Wheel Drive,2003
2014 Mercedes-Benz  CLS 550,2014,Mercedes-Benz,White,39993.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25992.0,74,Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDLJ9BB2EA118815,45,2014 Mercedes-Benz CLS-Class CLS 550 Sedan,Mercedes-Benz,CLS-Class,2014.0,39993.0,25992.0,Diamond White Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1987
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,Silver,25298.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,29556.0,74,Iridium Silver Metallic,Black,7-SPEED A/T,All Wheel Drive,55SWF4KB9FU008900,46,2015 Mercedes-Benz C-Class C 300 Sedan,Mercedes-Benz,C-Class,2015.0,25298.0,29556.0,Iridium Silver Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2015
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,Red,48705.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,9667.0,74,Designo Cardinal Red Metallic,Ginger Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,4JGDA5HB0HA929009,47,2017 Mercedes-Benz GLE-Class GLE 350 SUV,Mercedes-Benz,GLE-Class,2017.0,48705.0,9667.0,Designo Cardinal Red Metallic,GINGER BEIGE/ESPRESSO BROWN,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2030
2014 Mercedes-Benz  GLK 350,2014,Mercedes-Benz,White,24950.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,52775.0,74,Polar White,Black,7-SPEED A/T,All Wheel Drive,WDCGG8JB3EG179037,48,2014 Mercedes-Benz GLK GLK 350 SUV,Mercedes-Benz,GLK-Class,2014.0,24950.0,52775.0,Polar White,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2025
2014 Mercedes-Benz  GL 450,2014,Mercedes-Benz,Gray,39966.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,39313.0,74,Steel Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDF7CE9EA374877,49,2014 Mercedes-Benz GL-Class GL 450 SUV,Mercedes-Benz,GL-Class,2014.0,39966.0,39313.0,Steel Gray Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2033
1998 Mercedes-Benz  4dr AWD,1998,Mercedes-Benz,Red,2950.0,4 Wheels of Fox Lake,(847) 629-4507,5.0,79.0,211647.0,77,Maroon,Gray,5-SPEED A/T,Four Wheel Drive,4JGAB54E8WA008282,51,1998 Mercedes-Benz M-Class ML320,Mercedes-Benz,M-Class,1998.0,2950.0,211647.0,,,4 Wheels of Fox Lake,877-841-5611,Automatic,All Wheel Drive,2057
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,White,34998.0,CarMax Madison,(608) 286-3923,4.3,3.0,57218.0,5,White,Tan,7-Speed Automatic w/OD,AWD,4JGDF7CE1EA410478,100,2014 Mercedes-Benz GL450,Mercedes-Benz,GL-Class,2014.0,34998.0,58000.0,White,Tan,Carmax Madison,608-286-3969,Automatic,All Wheel Drive,1771
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Black,25998.0,CarMax Madison,(608) 286-3923,4.3,3.0,26442.0,5,Black,Tan,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GBXFJ092318,101,2015 Mercedes-Benz GLA250,Mercedes-Benz,GLA-Class,2015.0,25998.0,27000.0,Black,Tan,Carmax Madison,608-286-3969,Automated Manual,All Wheel Drive,1772
2014 Mercedes-Benz  CLA250 4MATIC,2014,Mercedes-Benz,White,23998.0,CarMax Madison,(608) 286-3923,4.3,3.0,20986.0,5,White,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDDSJ4GB2EN143634,102,2014 Mercedes-Benz CLA250,Mercedes-Benz,CLA-Class,2014.0,22998.0,21000.0,White,Black,Carmax Madison,608-286-3969,Automated Manual,All Wheel Drive,1769
2013 Mercedes-Benz  GL 450 4MATIC,2013,Mercedes-Benz,White,33944.0,Stark Automotive Stoughton,(608) 205-4260,4.6,57.0,65237.0,12,Diamond White Metallic,Almond Beige,7-Speed Automatic,AWD,4JGDF7CE5DA249101,103,Used 2013 Mercedes-Benz GL-Class GL 450 SUV,Mercedes-Benz,GL-Class,2013.0,33944.0,65237.0,,,Stark Automotive Group,866-350-1270,Automatic,All Wheel Drive,1778
2012 Mercedes-Benz  ML 350 4MATIC,2012,Mercedes-Benz,Black,21080.0,Kunes Country Chevrolet GMC Buick of Elkhorn,(877) 465-8196,4.9,298.0,83500.0,51,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB5CA016030,105,2012 Mercedes-Benz ML 350 4MATIC,Mercedes-Benz,M-Class,2012.0,21080.0,83500.0,Black,Almond Beige,Kunes Country Ford Lincoln,888-446-6028 888-439-7059,Automatic,All Wheel Drive,1791
2015 Mercedes-Benz  C 300 Luxury,2015,Mercedes-Benz,Black,25500.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,49805.0,55,Black,,7-Speed Automatic,AWD,55SWF4KB3FU015230,106,2015 Mercedes-Benz C-Class C 300 4MATIC Sedan,Mercedes-Benz,C-Class,2015.0,25500.0,49805.0,Black,,"Napleton's Autowerks, Inc.",877-441-8782,Automatic,All Wheel Drive,1809
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Gray,23500.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,68231.0,55,Gray,,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB0FJ030667,107,2015 Mercedes-Benz GLA 250 4MATIC SUV,Mercedes-Benz,GLA-Class,2015.0,23500.0,68231.0,Grey,,"Napleton's Autowerks, Inc.",877-441-8782,Automated Manual,All Wheel Drive,1804
2015 Mercedes-Benz  GLK 350 4MATIC,2015,Mercedes-Benz,White,30250.0,Napleton Autowerks Loves Park,(855) 789-0937,4.9,522.0,23968.0,55,White,,7-Speed Automatic,AWD,WDCGG8JB4FG439012,110,2015 Mercedes-Benz GLK-Class GLK 350 4MATIC SUV,Mercedes-Benz,GLK-Class,2015.0,30250.0,23968.0,White,,"Napleton's Autowerks, Inc.",877-441-8782,Automatic,All Wheel Drive,1802
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,Gray,37709.0,Wilde Honda,(262) 226-8570,4.5,631.0,41022.0,60,Steel Gray Metallic,,7-Speed Automatic w/OD,AWD,4JGDF7CE8EA370335,113,2014 Mercedes-Benz GL-Class GL 450 4MATIC SUV,Mercedes-Benz,GL-Class,2014.0,37709.0,41022.0,Steel Gray Metallic,,Wilde Honda New & Used Cars,888-582-4889,Automatic,All Wheel Drive,1885
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,Black,45000.0,Fields Jaguar Land Rover Volvo Waukesha,(262) 229-4393,4.6,57.0,12052.0,60,Black,,7-Speed Automatic,AWD,4JGDA5HB7HA853238,114,2017 Mercedes-Benz GLE Base 4matic,Mercedes-Benz,GLE-Class,2017.0,45000.0,12052.0,Black,,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,All Wheel Drive,1765
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,Silver,50521.0,International Porsche of Waukesha,(262) 395-7647,5.0,4.0,5626.0,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109,121,2017 Mercedes-Benz E-Class E 300,Mercedes-Benz,E-Class,2017.0,50521.0,5626.0,Iridium Silver Metallic,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1878
2014 Mercedes-Benz  Sport,2014,Mercedes-Benz,White,20998.0,CarMax Waukesha,(262) 207-2339,,,40371.0,61,White,Gray,7-Speed Automatic w/OD,RWD,WDDGF4HB0EG212024,129,2014 Mercedes-Benz C250 Sport,Mercedes-Benz,C-Class,2014.0,20998.0,41000.0,White,Gray,Carmax Waukesha,262-207-6249,Automatic,Rear Wheel Drive,1889
2017 Mercedes-Benz  C 300,2017,Mercedes-Benz,Black,37065.0,International Porsche of Waukesha,(262) 395-7647,5.0,4.0,5105.0,61,Black,Black,7-Speed Automatic,AWD,55SWF4KB6HU212265,134,2017 Mercedes-Benz C-Class C 300,Mercedes-Benz,C-Class,2017.0,37065.0,5105.0,Black,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1879
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,White,50775.0,International Porsche of Waukesha,(262) 395-7647,5.0,4.0,4501.0,61,Polar White,Black,9-Speed Automatic,AWD,WDDZF4KB2HA206038,136,2017 Mercedes-Benz E-Class E 300,Mercedes-Benz,E-Class,2017.0,50775.0,4501.0,Polar White,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1875
2018 Mercedes-Benz GLS 450 Base 4MATIC,2018,Mercedes-Benz,Gray,76392.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,2745.0,61,Selenite Gray Metallic,Black,9-Speed Automatic,AWD,4JGDF6EE9JB041235,137,2018 Mercedes-Benz GLS GLS 450,Mercedes-Benz,GLS-Class,2018.0,76245.0,2745.0,Selenite Gray Metallic,Black,International Autos,414-543-3000,Automatic,,1880
2014 Mercedes-Benz  GLK 350 4MATIC,2014,Mercedes-Benz,Blue,24803.0,Mercedes-Benz of Elmbrook,(262) 510-0488,4.5,39.0,62517.0,61,Lunar Blue Metallic,Shara Beige,7-Speed Automatic,AWD,WDCGG8JB1EG291206,142,2014 Mercedes-Benz GLK GLK 350,Mercedes-Benz,GLK-Class,2014.0,24803.0,62517.0,Lunar Blue Metallic,Sahara Beige/Mocha,International Autos,414-543-3000,Automatic,All Wheel Drive,1865
2014 Mercedes-Benz  E 350 4MATIC,2014,Mercedes-Benz,Black,26798.0,Holiday Mazda,(855) 294-9011,4.9,96.0,50841.0,67,Obsidian Black Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB2EA821205,143,Used 2014 Mercedes-Benz E-Class E 350 4MATIC Luxury Sedan,Mercedes-Benz,E-Class,2014.0,26798.0,50841.0,Obsidian Black Metallic,Black,Holiday Automotive,(877) 860-9048,Automatic,All Wheel Drive,1953
2013 Mercedes-Benz  E 350 4MATIC,2013,Mercedes-Benz,Black,16798.0,Holiday Mazda,(855) 294-9011,4.9,96.0,108660.0,67,Black,Almond / Black,7-Speed Automatic,AWD,WDDHF8JBXDA738779,144,Used 2013 Mercedes-Benz E-Class E 350 4MATIC Sport Sedan,Mercedes-Benz,E-Class,2013.0,16798.0,108660.0,Black,Almond/black,Holiday Automotive,(877) 860-9048,Automatic,All Wheel Drive,1954
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,White,43772.0,International Autos,(414) 939-8502,3.8,56.0,7701.0,68,Polar White,Silk Beige,9-Speed Automatic,AWD,WDC0G4KB2JV025353,146,2018 Mercedes-Benz GLC 300 4MATIC SUV,Mercedes-Benz,GLC-Class,2018.0,43772.0,7701.0,Polar White,Silk Beige,International Alfa Romeo,,Automatic,,1893
2015 Mercedes-Benz  ML 350 4MATIC,2015,Mercedes-Benz,Black,30995.0,International Autos,(414) 455-4870,3.8,56.0,43709.0,68,Black,Gray / Dark Gray,7-Speed Automatic,AWD,4JGDA5HB7FA477508,150,2015 Mercedes-Benz M-Class ML 350 4MATIC SUV,Mercedes-Benz,M-Class,2015.0,30995.0,43709.0,Black,Gray/Dark Gray,International Alfa Romeo,,Automatic,All Wheel Drive,1905
2014 Mercedes-Benz  GLK 350,2014,Mercedes-Benz,Black,26995.0,Griffin Chevrolet,(414) 375-4241,4.8,57.0,36131.0,68,Black,Black,7-Speed Automatic,4Matic,WDCGG8JB1EG310224,152,Used 2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,Mercedes-Benz,GLK-Class,2014.0,26995.0,36131.0,Black,Black,Griffin Chevrolet,(414) 434-5000,Automatic,All Wheel Drive,1939
2015 Mercedes-Benz  CLS 400 4MATIC,2015,Mercedes-Benz,Gray,31799.0,Russ Darrow Honda,(414) 751-6997,4.7,781.0,73485.0,69,Steel Gray Metallic,Black,7-Speed Automatic,AWD,WDDLJ6HB5FA134210,154,Used 2015 Mercedes-Benz CLS 400 4MATIC,Mercedes-Benz,CLS-Class,2015.0,31799.0,73485.0,Steel Gray Metallic,Black,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive,1767
2013 Mercedes-Benz  E 350,2013,Mercedes-Benz,Gray,19290.0,Bull Valley Ford,(888) 649-4692,4.7,56.0,52467.0,71,Gray,,Automatic 7-Speed,All Wheel Drive,WDDHF8JB6DA735278,155,2013 Mercedes-Benz E 350 L Sedan V6,Mercedes-Benz,E-Class,2013.0,19290.0,52467.0,Gray,,"Bull Valley Ford-mercury, Inc.",800-351-8074,Automatic,All Wheel Drive,1947
2014 Mercedes-Benz  ML 350 4MATIC,2014,Mercedes-Benz,Black,28542.0,BMW of Milwaukee North,(877) 591-3075,4.8,106.0,47262.0,73,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB2EA278087,156,2014 Mercedes-Benz M-Class ML 350 4MATIC SUV,Mercedes-Benz,M-Class,2014.0,28542.0,47262.0,Obsidian Black Metallic,,Concours BMW,888-258-1784 888-258-6303,Automatic,All Wheel Drive,1959
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,Gray,50944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,9723.0,74,Selenite Grey Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB1HA852408,157,2017 Mercedes-Benz GLE-Class GLE 350 SUV,Mercedes-Benz,GLE-Class,2017.0,50944.0,9723.0,Selenite Gray Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2029
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,White,26898.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,21811.0,74,Polar White,Beige/Black,7-SPEED A/T,All Wheel Drive,55SWF4KB4FU004060,158,2015 Mercedes-Benz C-Class C 300 Sedan,Mercedes-Benz,C-Class,2015.0,26898.0,21811.0,Polar White,BEIGE/BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2011
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,White,26944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,20578.0,74,Polar White,Silk Beige,7-SPEED A/T,All Wheel Drive,55SWF4KB7FU026232,159,2015 Mercedes-Benz C-Class C 300 Sedan,Mercedes-Benz,C-Class,2015.0,26944.0,20578.0,Polar White,SILK BEIGE,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,2014
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Black,26980.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,47842.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB4EA870499,160,2014 Mercedes-Benz E-Class E 350 Sedan,Mercedes-Benz,E-Class,2014.0,26980.0,47842.0,Black,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1998
