name_x,brand,color,price_x,seller_name,seller_phone,seller_average_rating,seller_review_count,miles_x,distance_from_Madison,Exterior Color_x,Interior Color_x,Transmission_x,Drivetrain_x,VIN,id_x,name_y,year,price_y,miles_y,Exterior Color_y,Interior Color_y,Seller Name,Seller Phone,Transmission_y,Drivetrain_y,id_y
2012 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,Black,21080.0,Kunes Country Chevrolet GMC Buick of Elkhorn,(877) 465-8196,4.9,298.0,83500.0,51,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB5CA016030,8,2012 Mercedes-Benz ML 350 4MATIC,2012,21080.0,83500.0,Black,Almond Beige,Kunes Country Ford Lincoln,888-446-6028 888-439-7059,Automatic,All Wheel Drive,822
2012 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,Black,21080.0,Kunes Country Chevrolet GMC Buick of Elkhorn,(877) 465-8196,4.9,298.0,83500.0,51,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB5CA016030,8,2012 Mercedes-Benz ML 350 4MATIC,2012,21080.0,83500.0,Black,Almond Beige,Kunes Country Ford Lincoln,888-446-6028 888-439-7059,Automatic,All Wheel Drive,1147
2007 Mercedes-Benz  R 350 4MATIC,Mercedes-Benz,Other,10995.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519.0,122845.0,55,,,7-Speed Automatic,AWD,4JGCB65E07A047267,12,2007 Mercedes-Benz R-Class Base SUV,2007,10995.0,122845.0,,,"Napleton's Autowerks, Inc.",877-441-8782,Automatic,All Wheel Drive,835
2007 Mercedes-Benz  R 350 4MATIC,Mercedes-Benz,Other,10995.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519.0,122845.0,55,,,7-Speed Automatic,AWD,4JGCB65E07A047267,12,2007 Mercedes-Benz R-Class Base SUV,2007,10995.0,122845.0,,,"Napleton's Autowerks, Inc.",877-441-8782,Automatic,All Wheel Drive,1160
2014 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,Black,33424.0,Boucher Hyundai,(866) 508-6541,4.9,881.0,54577.0,60,Black,Black,7-Speed Automatic,AWD,4JGDF7CE1EA403577,15,Used 2014 Mercedes-Benz GL-Class GL 450,2014,33424.0,54577.0,Black,Black,Boucher Hyundai,888-383-3649 866-508-6541,Automatic,All Wheel Drive,886
2014 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,Black,33424.0,Boucher Hyundai,(866) 508-6541,4.9,881.0,54577.0,60,Black,Black,7-Speed Automatic,AWD,4JGDF7CE1EA403577,15,Used 2014 Mercedes-Benz GL-Class GL 450,2014,33424.0,54577.0,Black,Black,Boucher Hyundai,888-383-3649 866-508-6541,Automatic,All Wheel Drive,1211
2015 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,White,31681.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,35346.0,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177,20,2015 Mercedes-Benz M-Class ML 350,2015,31681.0,35346.0,Polar White,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,905
2015 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,White,31681.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,35346.0,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177,20,2015 Mercedes-Benz M-Class ML 350,2015,31681.0,35346.0,Polar White,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1230
2015 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,White,31681.0,International Porsche of Waukesha,(262) 395-7647,5.0,4.0,35346.0,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177,24,2015 Mercedes-Benz M-Class ML 350,2015,31681.0,35346.0,Polar White,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,905
2015 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,White,31681.0,International Porsche of Waukesha,(262) 395-7647,5.0,4.0,35346.0,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177,24,2015 Mercedes-Benz M-Class ML 350,2015,31681.0,35346.0,Polar White,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1230
2017 Mercedes-Benz  E 300,Mercedes-Benz,Silver,50521.0,Mercedes-Benz of Elmbrook,(262) 510-0488,4.5,39.0,5626.0,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109,26,2017 Mercedes-Benz E-Class E 300,2017,51021.0,5626.0,Iridium Silver Metallic,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,910
2017 Mercedes-Benz  E 300,Mercedes-Benz,Silver,50521.0,Mercedes-Benz of Elmbrook,(262) 510-0488,4.5,39.0,5626.0,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109,26,2017 Mercedes-Benz E-Class E 300,2017,51021.0,5626.0,Iridium Silver Metallic,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1235
2017 Mercedes-Benz  E 300,Mercedes-Benz,Silver,51021.0,International Porsche of Waukesha,(262) 395-7647,5.0,4.0,5626.0,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109,29,2017 Mercedes-Benz E-Class E 300,2017,51021.0,5626.0,Iridium Silver Metallic,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,910
2017 Mercedes-Benz  E 300,Mercedes-Benz,Silver,51021.0,International Porsche of Waukesha,(262) 395-7647,5.0,4.0,5626.0,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109,29,2017 Mercedes-Benz E-Class E 300,2017,51021.0,5626.0,Iridium Silver Metallic,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1235
2011 Mercedes-Benz  C 300 Sport,Mercedes-Benz,White,10998.0,Heiser Toyota,(414) 375-4859,4.8,822.0,81185.0,67,Arctic White,Black,Automatic 7-Speed,All Wheel Drive,WDDGF8BB9BR164667,31,2011 Mercedes-Benz C-Class Sport,2011,10998.0,81185.0,Arctic White,Black,Heiser Chevrolet Cadillac of West Bend,888-417-1323 866-752-7864,Automatic,All Wheel Drive,962
2011 Mercedes-Benz  C 300 Sport,Mercedes-Benz,White,10998.0,Heiser Toyota,(414) 375-4859,4.8,822.0,81185.0,67,Arctic White,Black,Automatic 7-Speed,All Wheel Drive,WDDGF8BB9BR164667,31,2011 Mercedes-Benz C-Class Sport,2011,10998.0,81185.0,Arctic White,Black,Heiser Chevrolet Cadillac of West Bend,888-417-1323 866-752-7864,Automatic,All Wheel Drive,1287
2014 Mercedes-Benz  E 350 4MATIC,Mercedes-Benz,Silver,19990.0,Boucher Volkswagen Marketplace of Franklin,(866) 571-8206,5.0,58.0,77403.0,68,Iridium Silver Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB6EA921596,32,2014 Mercedes-Benz E 350 E350 4Matic,2014,29995.0,77403.0,Iridium Silver Metallic,Black w/MB-Tex Upholstery,Boucher Volkswagen of Franklin,866-301-0104 866-571-8206,Automatic,All Wheel Drive,989
2014 Mercedes-Benz  E 350 4MATIC,Mercedes-Benz,Silver,19990.0,Boucher Volkswagen Marketplace of Franklin,(866) 571-8206,5.0,58.0,77403.0,68,Iridium Silver Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB6EA921596,32,2014 Mercedes-Benz E 350 E350 4Matic,2014,29995.0,77403.0,Iridium Silver Metallic,Black w/MB-Tex Upholstery,Boucher Volkswagen of Franklin,866-301-0104 866-571-8206,Automatic,All Wheel Drive,1314
2014 Mercedes-Benz  C 300,Mercedes-Benz,White,21995.0,Griffin Chevrolet,(414) 375-4241,4.8,57.0,39293.0,68,White,Black,7G-TRONIC PLUS 7-Speed Automatic,4Matic,WDDGF8AB9ER310538,34,Used 2014 Mercedes-Benz C-Class C 300 4MATIC Sport Sedan,2014,21995.0,39293.0,White,Black,Griffin Chevrolet,(414) 434-5000,Automatic,All Wheel Drive,970
2014 Mercedes-Benz  C 300,Mercedes-Benz,White,21995.0,Griffin Chevrolet,(414) 375-4241,4.8,57.0,39293.0,68,White,Black,7G-TRONIC PLUS 7-Speed Automatic,4Matic,WDDGF8AB9ER310538,34,Used 2014 Mercedes-Benz C-Class C 300 4MATIC Sport Sedan,2014,21995.0,39293.0,White,Black,Griffin Chevrolet,(414) 434-5000,Automatic,All Wheel Drive,1295
2014 Mercedes-Benz  ML 550 4MATIC,Mercedes-Benz,White,34333.0,BMW of Milwaukee North,(877) 591-3075,4.8,106.0,37645.0,73,Diamond White Metallic,Black,7-Speed Automatic,AWD,4JGDA7DB2EA364226,35,2014 Mercedes-Benz M-Class ML 550 SUV,2014,34333.0,37645.0,White,TAN,Concours BMW,888-258-1784 888-258-6303,Automatic,All Wheel Drive,994
2014 Mercedes-Benz  ML 550 4MATIC,Mercedes-Benz,White,34333.0,BMW of Milwaukee North,(877) 591-3075,4.8,106.0,37645.0,73,Diamond White Metallic,Black,7-Speed Automatic,AWD,4JGDA7DB2EA364226,35,2014 Mercedes-Benz M-Class ML 550 SUV,2014,34333.0,37645.0,White,TAN,Concours BMW,888-258-1784 888-258-6303,Automatic,All Wheel Drive,1319
2010 Mercedes-Benz  C 300,Mercedes-Benz,White,10990.0,Runde Chevrolet,(888) 380-6201,4.8,108.0,93487.0,73,White,,7-Speed Automatic,AWD,WDDGF8BB2AF402701,36,Used 2010 Mercedes-Benz C-Class C 300 4MATIC Sport Sedan,2010,10990.0,93487.0,White,Black,RUNDE CHEVROLET BUICK GMC,(877) 241-4358,Automatic,All Wheel Drive,884
2010 Mercedes-Benz  C 300,Mercedes-Benz,White,10990.0,Runde Chevrolet,(888) 380-6201,4.8,108.0,93487.0,73,White,,7-Speed Automatic,AWD,WDDGF8BB2AF402701,36,Used 2010 Mercedes-Benz C-Class C 300 4MATIC Sport Sedan,2010,10990.0,93487.0,White,Black,RUNDE CHEVROLET BUICK GMC,(877) 241-4358,Automatic,All Wheel Drive,1209
2014 Mercedes-Benz  GLK 350,Mercedes-Benz,White,24493.0,INFINITI North Shore,(888) 675-1554,,,28493.0,73,Diamond White Metallic,Black,7-Speed Automatic,4Matic,WDCGG8JB3EG289120,37,Used 2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,2014,24493.0,28493.0,,Black,Infiniti INTERNATIONAL INFINITI NORTH SHORE,(877) 549-8748,Automatic,All Wheel Drive,998
2014 Mercedes-Benz  GLK 350,Mercedes-Benz,White,24493.0,INFINITI North Shore,(888) 675-1554,,,28493.0,73,Diamond White Metallic,Black,7-Speed Automatic,4Matic,WDCGG8JB3EG289120,37,Used 2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,2014,24493.0,28493.0,,Black,Infiniti INTERNATIONAL INFINITI NORTH SHORE,(877) 549-8748,Automatic,All Wheel Drive,1323
2016 Mercedes-Benz  GLE 450 AMG,Mercedes-Benz,Blue,58863.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,17181.0,74,Lunar Blue Metallic,Crystal Grey/Black,9-SPEED A/T,All Wheel Drive,4JGED6EB8GA044433,38,2016 Mercedes-Benz GLE-Class GLE 450 SUV,2016,58863.0,17181.0,Lunar Blue Metallic,CRYSTAL GRAY/BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1010
2016 Mercedes-Benz  GLE 450 AMG,Mercedes-Benz,Blue,58863.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,17181.0,74,Lunar Blue Metallic,Crystal Grey/Black,9-SPEED A/T,All Wheel Drive,4JGED6EB8GA044433,38,2016 Mercedes-Benz GLE-Class GLE 450 SUV,2016,58863.0,17181.0,Lunar Blue Metallic,CRYSTAL GRAY/BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1335
2014 Mercedes-Benz  E 350,Mercedes-Benz,Black,28595.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,26764.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB5EB032122,39,2014 Mercedes-Benz E-Class E 350 Sedan,2014,28595.0,26764.0,Black,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1036
2014 Mercedes-Benz  E 350,Mercedes-Benz,Black,28595.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,26764.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB5EB032122,39,2014 Mercedes-Benz E-Class E 350 Sedan,2014,28595.0,26764.0,Black,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1361
2015 Mercedes-Benz  C 350,Mercedes-Benz,Red,29989.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25415.0,74,Mars Red,Sport Black,7-SPEED A/T,All Wheel Drive,WDDGJ8JB3FG369502,40,2015 Mercedes-Benz C-Class C 350 Coupe,2015,29989.0,25415.0,Mars Red,SPORT BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1057
2015 Mercedes-Benz  C 350,Mercedes-Benz,Red,29989.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25415.0,74,Mars Red,Sport Black,7-SPEED A/T,All Wheel Drive,WDDGJ8JB3FG369502,40,2015 Mercedes-Benz C-Class C 350 Coupe,2015,29989.0,25415.0,Mars Red,SPORT BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1382
2014 Mercedes-Benz  CLS 550,Mercedes-Benz,White,39993.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25992.0,74,Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDLJ9BB2EA118815,41,2014 Mercedes-Benz CLS-Class CLS 550 Sedan,2014,39993.0,25992.0,Diamond White Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1028
2014 Mercedes-Benz  CLS 550,Mercedes-Benz,White,39993.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25992.0,74,Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDLJ9BB2EA118815,41,2014 Mercedes-Benz CLS-Class CLS 550 Sedan,2014,39993.0,25992.0,Diamond White Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1353
2015 Mercedes-Benz  C 300,Mercedes-Benz,Silver,25298.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,29556.0,74,Iridium Silver Metallic,Black,7-SPEED A/T,All Wheel Drive,55SWF4KB9FU008900,42,2015 Mercedes-Benz C-Class C 300 Sedan,2015,25298.0,29556.0,Iridium Silver Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1062
2015 Mercedes-Benz  C 300,Mercedes-Benz,Silver,25298.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,29556.0,74,Iridium Silver Metallic,Black,7-SPEED A/T,All Wheel Drive,55SWF4KB9FU008900,42,2015 Mercedes-Benz C-Class C 300 Sedan,2015,25298.0,29556.0,Iridium Silver Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1387
2014 Mercedes-Benz  GLK 350,Mercedes-Benz,White,24950.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,52775.0,74,Polar White,Black,7-SPEED A/T,All Wheel Drive,WDCGG8JB3EG179037,43,2014 Mercedes-Benz GLK GLK 350 SUV,2014,24950.0,52775.0,Polar White,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1007
2014 Mercedes-Benz  GLK 350,Mercedes-Benz,White,24950.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,52775.0,74,Polar White,Black,7-SPEED A/T,All Wheel Drive,WDCGG8JB3EG179037,43,2014 Mercedes-Benz GLK GLK 350 SUV,2014,24950.0,52775.0,Polar White,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1332
2014 Mercedes-Benz  GL 450,Mercedes-Benz,Gray,39966.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,39313.0,74,Steel Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDF7CE9EA374877,44,2014 Mercedes-Benz GL-Class GL 450 SUV,2014,39966.0,39313.0,Steel Gray Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1030
2014 Mercedes-Benz  GL 450,Mercedes-Benz,Gray,39966.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,39313.0,74,Steel Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDF7CE9EA374877,44,2014 Mercedes-Benz GL-Class GL 450 SUV,2014,39966.0,39313.0,Steel Gray Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1355
2015 Mercedes-Benz  C 300,Mercedes-Benz,White,26898.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,21811.0,74,Polar White,Beige/Black,7-SPEED A/T,All Wheel Drive,55SWF4KB4FU004060,45,2015 Mercedes-Benz C-Class C 300 Sedan,2015,26898.0,21811.0,Polar White,BEIGE/BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1060
2015 Mercedes-Benz  C 300,Mercedes-Benz,White,26898.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,21811.0,74,Polar White,Beige/Black,7-SPEED A/T,All Wheel Drive,55SWF4KB4FU004060,45,2015 Mercedes-Benz C-Class C 300 Sedan,2015,26898.0,21811.0,Polar White,BEIGE/BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1385
2015 Mercedes-Benz  C 300,Mercedes-Benz,White,26944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,20578.0,74,Polar White,Silk Beige,7-SPEED A/T,All Wheel Drive,55SWF4KB7FU026232,46,2015 Mercedes-Benz C-Class C 300 Sedan,2015,26944.0,20578.0,Polar White,SILK BEIGE,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1059
2015 Mercedes-Benz  C 300,Mercedes-Benz,White,26944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,20578.0,74,Polar White,Silk Beige,7-SPEED A/T,All Wheel Drive,55SWF4KB7FU026232,46,2015 Mercedes-Benz C-Class C 300 Sedan,2015,26944.0,20578.0,Polar White,SILK BEIGE,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1384
2017 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,Red,48705.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,9667.0,74,Designo Cardinal Red Metallic,Ginger Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,4JGDA5HB0HA929009,47,2017 Mercedes-Benz GLE-Class GLE 350 SUV,2017,48705.0,9667.0,Designo Cardinal Red Metallic,GINGER BEIGE/ESPRESSO BROWN,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1011
2017 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,Red,48705.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,9667.0,74,Designo Cardinal Red Metallic,Ginger Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,4JGDA5HB0HA929009,47,2017 Mercedes-Benz GLE-Class GLE 350 SUV,2017,48705.0,9667.0,Designo Cardinal Red Metallic,GINGER BEIGE/ESPRESSO BROWN,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1336
2017 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,Gray,50944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,9723.0,74,Selenite Grey Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB1HA852408,48,2017 Mercedes-Benz GLE-Class GLE 350 SUV,2017,50944.0,9723.0,Selenite Gray Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1012
2017 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,Gray,50944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,9723.0,74,Selenite Grey Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB1HA852408,48,2017 Mercedes-Benz GLE-Class GLE 350 SUV,2017,50944.0,9723.0,Selenite Gray Metallic,BLACK,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,1337
2014 Mercedes-Benz  E 350,Mercedes-Benz,Red,28900.0,Zimbrick Nissan,(608) 338-0718,4.6,111.0,22057.0,7,Mars Red,Silk Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,WDDKJ8JB8EF279034,103,2014 Mercedes-Benz E-Class 2dr Cpe E 350 4MATIC,2014,28900.0,22057.0,Mars Red,Silk Beige/Espresso Brown,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,785
2014 Mercedes-Benz  E 350,Mercedes-Benz,Red,28900.0,Zimbrick Nissan,(608) 338-0718,4.6,111.0,22057.0,7,Mars Red,Silk Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,WDDKJ8JB8EF279034,103,2014 Mercedes-Benz E-Class 2dr Cpe E 350 4MATIC,2014,28900.0,22057.0,Mars Red,Silk Beige/Espresso Brown,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,1110
2013 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,White,33944.0,Stark Automotive Stoughton,(608) 205-4260,4.6,57.0,65237.0,12,Diamond White Metallic,Almond Beige,7-Speed Automatic,AWD,4JGDF7CE5DA249101,104,Used 2013 Mercedes-Benz GL-Class GL 450 SUV,2013,33944.0,65237.0,,,Stark Automotive Group,866-350-1270,Automatic,All Wheel Drive,812
2013 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,White,33944.0,Stark Automotive Stoughton,(608) 205-4260,4.6,57.0,65237.0,12,Diamond White Metallic,Almond Beige,7-Speed Automatic,AWD,4JGDF7CE5DA249101,104,Used 2013 Mercedes-Benz GL-Class GL 450 SUV,2013,33944.0,65237.0,,,Stark Automotive Group,866-350-1270,Automatic,All Wheel Drive,1137
2014 Mercedes-Benz  GL450 4MATIC,Mercedes-Benz,Gray,37709.0,Wilde Honda,(262) 226-8570,4.5,631.0,41022.0,60,Steel Gray Metallic,,7-Speed Automatic w/OD,AWD,4JGDF7CE8EA370335,107,2014 Mercedes-Benz GL-Class GL 450 4MATIC SUV,2014,37709.0,41022.0,Steel Gray Metallic,,Wilde Honda New & Used Cars,888-582-4889,Automatic,All Wheel Drive,917
2014 Mercedes-Benz  GL450 4MATIC,Mercedes-Benz,Gray,37709.0,Wilde Honda,(262) 226-8570,4.5,631.0,41022.0,60,Steel Gray Metallic,,7-Speed Automatic w/OD,AWD,4JGDF7CE8EA370335,107,2014 Mercedes-Benz GL-Class GL 450 4MATIC SUV,2014,37709.0,41022.0,Steel Gray Metallic,,Wilde Honda New & Used Cars,888-582-4889,Automatic,All Wheel Drive,1242
