name,VIN,make,model,year,price,miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain,id
2014 BMW i3 4dr HB w/Range Extender,WBY1Z4C53EV276304,BMW,i3,2014.0,22990.0,32542.0,Capparis White/BMW i Frozen Bl,Tera (Full Leather),Zimbrick BMW,888-237-4721 877-654-8272,Direct Drive,Rear Wheel Drive,25
2013 BMW X1 AWD 4dr xDrive35i,WBAVM5C54DVL63910,BMW,X1,2013.0,22990.0,37297.0,Midnight Blue Metallic,Terra,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,26
2013 BMW 3 Series 4dr Sdn 335i xDrive AWD,WBA3B9C57DF140873,BMW,3 Series,2013.0,22990.0,39874.0,Glacier Silver Metallic,Leather Dakota Venetian Beige,Zimbrick BMW,888-237-4721 877-654-8272,Manual,All Wheel Drive,27
2015 BMW X1 AWD 4dr xDrive28i,WBAVL1C52FVY35889,BMW,X1,2015.0,22887.0,47493.0,Jet Black,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,28
2018 BMW 3 Series 320i xDrive Sedan,WBA8A3C53JA067404,BMW,3 Series,2018.0,41810.0,7961.0,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,29
2018 BMW 3 Series 320i xDrive Sedan,WBA8E5G58JNU46319,BMW,3 Series,2018.0,41515.0,3302.0,Glacier Silver Metallic,Black SensaTec,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,30
2018 BMW X1 xDrive28i Sports Activity Vehicle,WBXHT3C3XJ5F88324,BMW,X1,2018.0,41445.0,4800.0,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,31
2017 BMW X3 xDrive28i Sports Activity Vehicle,5UXWX9C35H0T20103,BMW,X3,2017.0,39745.0,7800.0,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,32
2018 BMW X1 xDrive28i Sports Activity Vehicle,WBXHT3C37J5K21670,BMW,X1,2018.0,40997.0,2500.0,Glacier Silver Metallic,Black Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,33
2015 BMW 4 Series 2dr Cpe 435i xDrive AWD,WBA3R5C51FK372206,BMW,4 Series,2015.0,35990.0,37134.0,Mineral Gray Metallic,Coral Red/Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,34
2015 BMW X3 AWD 4dr xDrive28i,5UXWX9C56F0D51264,BMW,X3,2015.0,33990.0,37495.0,Mineral White Metallic,Saddle Brown Nevada Leather,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,35
2015 BMW X4 AWD 4dr xDrive28i,5UXXW3C57F0M86626,BMW,X4,2015.0,32970.0,38692.0,Black Sapphire Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,36
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3C50FF548504,BMW,3 Series,2015.0,31990.0,9142.0,Alpine White,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,37
2011 BMW 5 Series 4dr Sdn 550i xDrive AWD,WBAFU9C5XBC785507,BMW,5 Series,2011.0,20990.0,55820.0,Cashmere Silver Metallic,Venetian Beige,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,38
2014 BMW X3 AWD 4dr xDrive28i,5UXWX9C51E0D20003,BMW,X3,2014.0,20990.0,72027.0,Black Sapphire Metallic,Sand Beige,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,39
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5C56DJ599026,BMW,3 Series,2013.0,20990.0,45155.0,Jet Black,Black Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,40
2015 BMW X1 AWD 4dr xDrive28i,WBAVL1C5XFVY34215,BMW,X1,2015.0,20628.0,49330.0,Alpine White,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,41
2018 BMW 3 Series 330i xDrive Sedan,WBA8D9G54JNU68540,BMW,3 Series,2018.0,46950.0,1800.0,Mineral Grey Metallic,Black SensaTec/Red Stitching,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,42
2011 BMW 3 Series 2dr Conv 335i,WBADX7C59BE581899,BMW,3 Series,2011.0,19990.0,53931.0,Deep Sea Blue Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive,43
2018 BMW 4 Series 430i xDrive Convertible,WBA4Z3C52JEA31707,BMW,4 Series,2018.0,46782.0,18901.0,Alpine White,Venetian Beige/Dk. Oyster,Zimbrick BMW,888-237-4721 877-654-8272,,,44
2017 BMW X3 xDrive28i Sports Activity Vehicle,5UXWX9C36H0W74955,BMW,X3,2017.0,45993.0,6262.0,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,45
2017 BMW 3 Series 330i xDrive Sedan,WBA8D9G57HNT90989,BMW,3 Series,2017.0,46085.0,7200.0,Mediterranean Blue Metallic,Oyster Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,,,46
2015 BMW 6 Series 4dr Sdn 640i xDrive AWD Gran Coupe,WBA6B8C55FD453751,BMW,6 Series Gran Coupe,2015.0,45990.0,33825.0,Black Sapphire Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,47
2018 BMW 3 Series 330i xDrive Sedan,WBA8D9G54JNU67730,BMW,3 Series,2018.0,45897.0,2400.0,Alpine White,Venetian Beige Sensatec,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,48
2018 BMW 3 Series 320i xDrive Sedan,WBA8E5G59JNU45616,BMW,3 Series,2018.0,44835.0,4787.0,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,49
2017 BMW 3 Series 330i xDrive Sports Wagon,WBA8K3C56HK679288,BMW,3 Series,2017.0,44280.0,3500.0,Mineral Gray Metallic,Saddle Brown/Dark Brown,Zimbrick BMW,888-237-4721 877-654-8272,,,50
2017 BMW 2 Series 230i xDrive Convertible,WBA2M9C34HV717875,BMW,2 Series,2017.0,41947.0,6553.0,Mineral White Metallic,Terra,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,51
2015 BMW 4 Series 2dr Conv 435i xDrive AWD,WBA3T7C59FPW79980,BMW,4 Series,2015.0,41990.0,25187.0,Black Sapphire Metallic,Black/Blue Highlight,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,52
2018 BMW 6 Series 640i xDrive Gran Turismo,WBAJV6C50JBC99785,BMW,6 Series Gran Turismo,2018.0,67996.0,2953.0,Bluestone Metallic,Ivory White,Zimbrick BMW,888-237-4721 877-654-8272,,,53
2015 BMW 6 Series 2dr Conv 650i xDrive AWD,WBAYP1C57FD217006,BMW,6 Series,2015.0,61743.0,11535.0,Carbon Black Metallic,Ivory White,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,54
2017 BMW 5 Series 540i xDrive Sedan,WBAJE7C32HG478778,BMW,5 Series,2017.0,59990.0,15893.0,Alpine White,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,55
2017 BMW X5 xDrive35d Sports Activity Vehicle,5UXKS4C31H0Y16323,BMW,X5,2017.0,59942.0,9547.0,Mineral White Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,56
2018 BMW 5 Series 540i xDrive Sedan,WBAJE7C54JWC55965,BMW,5 Series,2018.0,59485.0,2800.0,Alpine White,Black Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,,,57
2010 BMW X6 M Sports Activity Coupe,5YMGZ0C52ALK13602,BMW,X6 M,2010.0,28999.0,99780.0,Carbon Black,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive,58
2014 BMW X3 xDrive28i Xdrive28i SAV,5UXWX9C52E0D41359,BMW,X3,2014.0,18491.0,79862.0,Black,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive,59
2015 BMW X3 xDrive28i SAV,5UXWX9C59F0D56085,BMW,X3,2015.0,31878.0,11270.0,Mineral Silver Metallic,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive,60
2015 BMW X1 xDrive35i SUV,WBAVM5C52FVV94307,BMW,X1,2015.0,25989.0,30566.0,Mineral Gray,,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive,61
2017 BMW X1 xDrive28i SAV,WBXHT3Z33H4A55142,BMW,X1,2017.0,33895.0,10529.0,Mineral Gray,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive,62
2011 BMW 535i xDrive 535i Xdrive Sedan,WBAFU7C5XBC870481,BMW,5 Series,2011.0,14979.0,86118.0,Blue,OYSTER/BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive,63
2008 BMW 5 Series 528xi Sedan,WBANV13528CZ57127,BMW,5 Series,2008.0,8715.0,121707.0,Titanium Silver,,Kayser Nissan,866-752-3695,Manual,All Wheel Drive,64
2018 BMW 430i xDrive Convertible,WBA4Z3C53JEC47582,BMW,4 Series,2018.0,39694.0,15027.0,Estoril Blue Metallic,BLACK,Kayser Nissan,866-752-3695,,,65
Used 2015 BMW X5 xDrive35i AWD 4DR XDRIVE35I *ULTRAVIEW SUNROOF *HEATED SEATS *CROSS RAILS *TOW PACKAGE*,5UXKR0C55F0P09732,BMW,X5,2015.0,34997.0,49820.0,White,Black,Bergstrom of Madison,608-271-2211,Automatic,All Wheel Drive,66
2015 BMW X1 AWD 4dr xDrive28i Sport Utility,WBAVL1C58FVY34939,BMW,X1,2015.0,21800.0,30093.0,White,TAN,Zimbrick Audi,(608) 258-4000,Automatic,All Wheel Drive,67
2013 BMW 335i 4dr Sdn 335i xDrive AWD Car,WBA3B9C5XDF587178,BMW,3 Series,2013.0,20700.0,39000.0,Red,TAN,Zimbrick Audi,(608) 258-4000,Manual,All Wheel Drive,68
2010 BMW 328i AWD-Only 47k,WBAPK7C53AA462697,BMW,3 Series,2010.0,14495.0,47475.0,Red,Beige,German Auto House,,Manual,All Wheel Drive,69
2014 BMW 2 Series M235I,WBA1J7C54EVW84267,BMW,2 Series,2014.0,26995.0,52081.0,Space Gray,Black,German Auto House,,Automatic,Rear Wheel Drive,70
2013 BMW 328XI AWD Coupe-Only 46K,WBAKF3C54DJ385799,BMW,3 Series,2013.0,17995.0,46380.0,Black,Black,German Auto House,,Manual,All Wheel Drive,71
2015 BMW 3 Series 4dr Sdn 320i xDrive AWD,WBA3C3C58FK201426,BMW,3 Series,2015.0,22990.0,38043.0,Imperial Blue Metallic,Black Dakota Leather,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,72
2015 BMW 3 Series 4dr Sdn 335i xDrive AWD,WBA3B9G51FNR93417,BMW,3 Series,2015.0,35990.0,23320.0,Black Sapphire Metallic,Black Dakota Leather,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,73
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3C50FJ984086,BMW,3 Series,2015.0,23900.0,49529.0,Jet Black,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,74
2014 BMW 3 Series 4dr Sports Wgn 328d xDrive AWD,WBA3K5C56EKT33937,BMW,3 Series,2014.0,30600.0,39878.0,Mineral Gray Metallic,Black/Excl. Stitch,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,75
2017 BMW X3 xDrive28i Sports Activity Vehicle,5UXWX9C56H0T00640,BMW,X3,2017.0,29989.0,42002.0,Carbon Black Metallic,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,76
2015 BMW 4 Series 4dr Sdn 428i xDrive AWD Gran Coupe,WBA4A7C50FD414070,BMW,4 Series Gran Coupe,2015.0,27900.0,43558.0,Imperial Blue Metallic,Ivory White/Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,77
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5C52DF599110,BMW,3 Series,2013.0,16755.0,70019.0,Glacier Silver Metallic,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,78
2015 BMW 5 Series 4dr Sdn 535i xDrive AWD,WBA5B3C51FD541680,BMW,5 Series,2015.0,30976.0,46065.0,Jet Black,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,79
2016 BMW 3 Series Gran Turismo 5dr 328i xDrive Gran Turismo AWD SU,WBA8Z5C58GGS37573,BMW,3 Series Gran Turismo,2016.0,30974.0,32383.0,Black Sapphire Metallic,Black/Excl. Stitch,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,80
2015 BMW 4 Series 2dr Cpe 428i xDrive AWD,WBA3N5C55FK198314,BMW,4 Series,2015.0,25999.0,47008.0,Black Sapphire Metallic,Black w/Red Highlight,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,81
2014 BMW X3 AWD 4dr xDrive28i,5UXWX9C58E0D27756,BMW,X3,2014.0,25989.0,21769.0,Black Sapphire Metallic,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,82
2014 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5G59ENS06575,BMW,3 Series,2014.0,20900.0,38232.0,Black Sapphire Metallic,Venetian Beige,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,83
2015 BMW 5 Series 4dr Sdn 535i xDrive AWD,WBA5B3C51FD545017,BMW,5 Series,2015.0,28900.0,46834.0,Space Gray Metallic,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,84
2011 BMW 3-Series 328i,WBAPH7G51BNN06179,BMW,3 Series,2011.0,11995.0,51349.0,Black,Leather,Scott Motors,,Manual,Rear Wheel Drive,85
2012 BMW 3-Series 328i Modern Turbo,WBA3A5C59CF256067,BMW,3 Series,2012.0,12995.0,97485.0,Silver,Leather,Scott Motors,,Manual,Rear Wheel Drive,86
2007 BMW X5 3.0si SUV,5UXFE43567L017791,BMW,X5,2007.0,9995.0,117912.0,Green,Black,A to Z Autosports LLC,888-825-1967,Automatic,All Wheel Drive,87
2002 BMW M5 Sedan,WBSDE93492CF90251,BMW,M5,2002.0,25995.0,95043.0,Silver,Black,A to Z Autosports LLC,888-825-1967,Manual,Rear Wheel Drive,88
2013 BMW X5,5UXZV4C59D0G50072,BMW,X5,2013.0,25995.0,35214.0,GRAY,,Schoepp Motors West,,Automatic,All Wheel Drive,89
2014 BMW 6 Series 650i Convertible,WBAYP9C58ED169268,BMW,6 Series,2014.0,45500.0,48670.0,BLACK,,Schoepp Motors West,,Automatic,Rear Wheel Drive,90
2015 BMW 4 Series 428i Convertible,WBA3V5C58FP753386,BMW,4 Series,2015.0,33800.0,28604.0,BLACK,,Schoepp Motors West,,Automatic,Rear Wheel Drive,91
2015 BMW 5 Series 535i Luxury Line,WBA5B1C58FG127301,BMW,5 Series,2015.0,33995.0,31939.0,Imperial Blue Metallic,,Schoepp Motors West,,Automatic,Rear Wheel Drive,92
2015 BMW X5 sDrive35i,5UXKR2C51F0H34822,BMW,X5,2015.0,36995.0,58600.0,BROWN,,Schoepp Motors West,,Automatic,Rear Wheel Drive,93
2015 BMW 4 Series 435i M Sport,WBA3R1C52FK194461,BMW,4 Series,2015.0,36800.0,24184.0,WHITE,,Schoepp Motors West,,Automatic,Rear Wheel Drive,94
2009 BMW 3 Series 328i,WBAPH73509E128291,BMW,3 Series,2009.0,,232263.0,RED,,Schoepp Motors West,,Manual,Rear Wheel Drive,95
2014 BMW X1 xDrive35i,WBAVM5C50EVV93364,BMW,X1,2014.0,24995.0,40279.0,White,,Schoepp Motors West,,Automatic,All Wheel Drive,96
2017 BMW 3 Series 320i xDrive,WBA8E5G58HNU22919,BMW,3 Series,2017.0,30995.0,14182.0,BLACK,,Schoepp Motors West,,Automatic,All Wheel Drive,97
2017 BMW X3 xDrive28i,5UXWX9C34H0T21081,BMW,X3,2017.0,35995.0,15829.0,Jet Black,,Schoepp Motors West,,Automatic,All Wheel Drive,98
2006 BMW X3 3.0i,WBXPA934X6WG76904,BMW,X3,2006.0,5995.0,149372.0,SILVER,,Schoepp Motors West,,Manual,All Wheel Drive,99
2011 BMW 3 Series 335i xDrive,WBAPL5C57BA919711,BMW,3 Series,2011.0,15995.0,81234.0,SILVER,,Schoepp Motors West,,Manual,All Wheel Drive,100
2014 BMW 3 Series 328i,WBA3A5C5XEP603449,BMW,3 Series,2014.0,19995.0,43689.0,WHITE,,Schoepp Motors West,,Automatic,Rear Wheel Drive,101
2013 BMW 5 Series,WBAXH5C58DDW15130,BMW,5 Series,2013.0,18500.0,62144.0,GRAY,,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive,102
2011 BMW 5-Series 528i,WBAFR1C52BC743223,BMW,5 Series,2011.0,12900.0,123824.0,Black,Leather,MSI Auto Sales,608-833-3012,Automatic,Rear Wheel Drive,103
2002 BMW M3 Coupe,WBSBL93412JR13164,BMW,M3,2002.0,14900.0,106907.0,Blue,Leather,MSI Auto Sales,608-833-3012,Manual,Rear Wheel Drive,104
2014 BMW 4-Series 428i xDrive,WBA3N5C54EF716291,BMW,4 Series,2014.0,19900.0,77567.0,Silver,Leather,MSI Auto Sales,608-833-3012,Automatic,All Wheel Drive,105
2002 BMW 3-Series Sport Wagon 325xi,WBAEP33402PF01434,BMW,3 Series,2002.0,5900.0,99198.0,Silver,Leather,MSI Auto Sales,608-833-3012,Manual,All Wheel Drive,106
2001 BMW 3-Series 325Ci coupe,WBABN33481JW57809,BMW,3 Series,2001.0,3900.0,149292.0,White,Leather,MSI Auto Sales,608-833-3012,Manual,Rear Wheel Drive,107
2007 BMW 3-Series 335i Convertible,WBAWL73577PX51192,BMW,3 Series,2007.0,11900.0,69865.0,Gray,Leather,MSI Auto Sales,608-833-3012,Manual,Rear Wheel Drive,108
2015 BMW 320i 320i xDrive Sedan,WBA3C3C53FP663265,BMW,3 Series,2015.0,20801.0,40460.0,Black,,DON MILLER SUBARU,855-808-3072,Automatic,All Wheel Drive,109
2011 BMW 5 Series 535i Xdrive,WBAFU7C58BC878711,BMW,5 Series,2011.0,12498.0,125825.0,Jet Black,Venetian Beige Dakota Leather,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,All Wheel Drive,110
2014 BMW 3 Series 328d Xdrive,WBA3K5C56EKT33646,BMW,3 Series,2014.0,22520.0,66137.0,Sparkling Bronze Metallic,Black,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,All Wheel Drive,111
Used 2011 BMW 5 Series 535i,WBAFR7C57BC603820,BMW,5 Series,2011.0,14997.0,90489.0,Alpine White,Veneto Beige,Russ Darrow Kia,888-356-1417,Manual,Rear Wheel Drive,112
Used 2018 BMW 5 Series 540i xDrive,WBAJE7C52JG891355,BMW,5 Series,2018.0,57794.0,1344.0,Alpine White,Cognac,Russ Darrow Kia,888-356-1417,,,113
Used 2016 BMW 5 Series 528i xDrive,WBA5A7C50GG148103,BMW,5 Series,2016.0,31997.0,34755.0,Black,Black,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive,114
Used 2016 BMW 3 Series 328i xDrive,WBA8E3G58GNT80478,BMW,3 Series,2016.0,26997.0,29449.0,Melbourne Red Metallic,Black,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive,115
Used 2018 BMW 4 Series 430i xDrive,WBA4Z3C55JEC48765,BMW,4 Series,2018.0,37997.0,22900.0,Mineral Gray Metallic,Black,Russ Darrow Kia,888-356-1417,,,116
Used 2018 BMW 4 Series 430i xDrive,WBA4Z3C55JEC48958,BMW,4 Series,2018.0,38888.0,17679.0,Carbon Black Metallic,Black,Russ Darrow Kia,888-356-1417,,,117
Used 2006 BMW X3 3.0i,WBXPA93476WG84409,BMW,X3,2006.0,5994.0,162434.0,Blue Water Metallic,Black,Russ Darrow Kia,888-356-1417,Manual,All Wheel Drive,118
Used 2014 BMW 3 Series 320i xDrive,WBA3C3G54ENS71741,BMW,3 Series,2014.0,18494.0,40522.0,Jet Black,Black,Russ Darrow Kia,888-356-1417,Automatic,Rear Wheel Drive,119
Used 2005 BMW 3 Series 325xi,WBAEU33465PR18681,BMW,3 Series,2005.0,3499.0,135309.0,Mystic Blue Metallic,Black,Russ Darrow Kia,888-356-1417,Manual,All Wheel Drive,120
Used 2017 BMW X3 xDrive28i,5UXWX9C35H0W72307,BMW,X3,2017.0,30874.0,21628.0,Alpine White,Black,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive,121
Used 2006 BMW 3 Series 330i,WBAVB33556KS34718,BMW,3 Series,2006.0,6995.0,91000.0,Blue,,Russ Darrow Kia,888-356-1417,Manual,Rear Wheel Drive,122
Used 2009 BMW X3 xDrive30i,WBXPC93499WJ27822,BMW,X3,2009.0,9999.0,97563.0,Space Gray Metallic,Black,Russ Darrow Kia,888-356-1417,Manual,All Wheel Drive,123
Used 2016 BMW 3 Series 328i,WBA8E9G53GNT44765,BMW,3 Series,2016.0,22944.0,21761.0,Alpine White,Venetian Beige,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive,124
2015 BMW X5 XDrive35D,5UXKS4C58F0J98027,BMW,X5,2015.0,34998.0,42000.0,Gray,Black,Carmax Madison,608-286-3969,Automatic,All Wheel Drive,125
2014 BMW 320 XI,WBA3C3G55ENS69108,BMW,3 Series,2014.0,19998.0,27000.0,Black,Black,Carmax Madison,608-286-3969,Automatic,Rear Wheel Drive,126
