name,year,maker,price,seller_name,seller_phone,miles,exterior_color,interior_color,transmission,drivetrain,vin,id
2015 Mercedes-Benz  ML 350 4MATIC,2015,Mercedes-Benz,31681.0,Mercedes-Benz of Elmbrook,(262) 510-2426,35346.0,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177,22
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,26522.0,Mercedes-Benz of Elmbrook,(262) 510-0488,30381.0,Mountain Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB8FJ067563,23
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,61945.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Lunar Blue Metallic,Macchiato,9-Speed Automatic,AWD,WDDZF4KB5HA239616,29
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,22998.0,CarMax Waukesha,(262) 207-2339,31428.0,Silver,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB8EN067839,30
2011 Mercedes-Benz  C 300 Sport,2011,Mercedes-Benz,10998.0,Heiser Toyota,(414) 375-4859,81185.0,Arctic White,Black,Automatic 7-Speed,All Wheel Drive,WDDGF8BB9BR164667,31
2014 Mercedes-Benz  C 300,2014,Mercedes-Benz,21995.0,Griffin Chevrolet,(414) 375-4241,39293.0,White,Black,7G-TRONIC PLUS 7-Speed Automatic,4Matic,WDDGF8AB9ER310538,34
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,25998.0,CarMax Metro Parc,(414) 214-9772,14334.0,Black,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GB4FJ056401,35
2014 Mercedes-Benz  ML 550 4MATIC,2014,Mercedes-Benz,34333.0,BMW of Milwaukee North,(877) 591-3075,37645.0,Diamond White Metallic,Black,7-Speed Automatic,AWD,4JGDA7DB2EA364226,36
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,28595.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,26764.0,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB5EB032122,40
2015 Mercedes-Benz  S 550,2015,Mercedes-Benz,82879.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,20810.0,Designo Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDXJ8FB8FA001201,42
2015 Mercedes-Benz  C 350,2015,Mercedes-Benz,29989.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,25415.0,Mars Red,Sport Black,7-SPEED A/T,All Wheel Drive,WDDGJ8JB3FG369502,43
2014 Mercedes-Benz  CLS 550,2014,Mercedes-Benz,39993.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,25992.0,Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDLJ9BB2EA118815,45
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,25298.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,29556.0,Iridium Silver Metallic,Black,7-SPEED A/T,All Wheel Drive,55SWF4KB9FU008900,46
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,48705.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,9667.0,Designo Cardinal Red Metallic,Ginger Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,4JGDA5HB0HA929009,47
2014 Mercedes-Benz  GL 450,2014,Mercedes-Benz,39966.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,39313.0,Steel Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDF7CE9EA374877,49
2016 Mercedes-Benz  E 350,2016,Mercedes-Benz,33480.0,VROOM (Milwaukee),(877) 682-3020,23821.0,Silver,Gray,7-Speed Automatic w/OD,RWD,WDDHF5KB9GB329684,53
2014 Mercedes-Benz  CLS550,2014,Mercedes-Benz,33980.0,VROOM (Milwaukee),(877) 682-3020,37762.0,Gray,Black,7-Speed Automatic w/OD,RWD,WDDLJ7DB6EA093130,54
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,21730.0,VROOM (Milwaukee),(877) 682-3020,36626.0,Gray,Gray,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB9EN128065,59
2016 Mercedes-Benz  CLA 250,2016,Mercedes-Benz,23980.0,VROOM (Milwaukee),(877) 682-3020,25693.0,White,Tan,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB5GN360651,60
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,2018,Mercedes-Benz,65980.0,VROOM (Milwaukee),(877) 682-3020,9879.0,White,Black,9-Speed Automatic w/OD,AWD,4JGDA6EB1JA997206,62
2015 Mercedes-Benz  S 550,2015,Mercedes-Benz,78980.0,VROOM (Milwaukee),(877) 682-3020,18683.0,Black,Black,Automatic,AWD,WDDXJ8FB6FA009362,66
2016 Mercedes-Benz  C300 Sport,2016,Mercedes-Benz,26730.0,VROOM (Milwaukee),(877) 682-3020,32263.0,Black,Black,7-Speed Automatic w/OD,RWD,55SWF4JB6GU126230,72
2016 Mercedes-Benz  E 350,2016,Mercedes-Benz,36480.0,VROOM (Milwaukee),(877) 682-3020,22152.0,Black,Black,7-Speed Automatic w/OD,RWD,WDDHF5KB4GB290597,73
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,31980.0,VROOM (Milwaukee),(877) 682-3020,30412.0,Black,Black,7-Speed Automatic w/OD,RWD,WDDKK5KF8EF269018,74
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,21730.0,VROOM (Milwaukee),(877) 682-3020,52168.0,White,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GB3FJ029125,76
2014 Mercedes-Benz  E 350 Sport 4dr Sedan,2014,Mercedes-Benz,23980.0,VROOM (Milwaukee),(877) 682-3020,55772.0,White,Tan,7-Speed Automatic w/OD,RWD,WDDHF5KB7EA831676,80
2014 Mercedes-Benz  E 350 Sport 4dr Sedan,2014,Mercedes-Benz,23230.0,VROOM (Milwaukee),(877) 682-3020,51101.0,Gray,Tan,7-Speed Automatic w/OD,RWD,WDDHF5KB6EA788996,81
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,25480.0,VROOM (Milwaukee),(877) 682-3020,47700.0,Blue,Black,7-Speed Automatic w/OD,AWD,WDDKJ8JB6EF278982,83
2017 Mercedes-Benz  E 300 4MATIC,2017,Mercedes-Benz,46230.0,VROOM (Milwaukee),(877) 682-3020,9909.0,Silver,Black,9-Speed Automatic w/OD,AWD,WDDZF4KBXHA036317,84
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,27980.0,VROOM (Milwaukee),(877) 682-3020,49206.0,Black,Black,7-Speed Automatic w/OD,RWD,WDDKK5KF8EF249206,87
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,23730.0,VROOM (Milwaukee),(877) 682-3020,21867.0,Gray,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EBXEN159289,89
2014 Mercedes-Benz  ML 350,2014,Mercedes-Benz,27480.0,VROOM (Milwaukee),(877) 682-3020,61328.0,Gray,Gray,7-Speed Automatic w/OD,AWD,4JGDA5HB8EA434164,95
2014 Mercedes-Benz  GLK350,2014,Mercedes-Benz,25230.0,VROOM (Milwaukee),(877) 682-3020,30220.0,Gray,Tan,7-Speed Automatic w/OD,RWD,WDCGG5HB3EG295519,96
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,34998.0,CarMax Madison,(608) 286-3923,57218.0,White,Tan,7-Speed Automatic w/OD,AWD,4JGDF7CE1EA410478,100
2014 Mercedes-Benz  CLA250 4MATIC,2014,Mercedes-Benz,23998.0,CarMax Madison,(608) 286-3923,20986.0,White,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDDSJ4GB2EN143634,102
2013 Mercedes-Benz  GL 450 4MATIC,2013,Mercedes-Benz,33944.0,Stark Automotive Stoughton,(608) 205-4260,65237.0,Diamond White Metallic,Almond Beige,7-Speed Automatic,AWD,4JGDF7CE5DA249101,103
2012 Mercedes-Benz  ML 350 4MATIC,2012,Mercedes-Benz,21080.0,Kunes Country Chevrolet GMC Buick of Elkhorn,(877) 465-8196,83500.0,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB5CA016030,105
2015 Mercedes-Benz  C 300 Luxury,2015,Mercedes-Benz,25500.0,Napleton Autowerks Loves Park,(815) 916-4212,49805.0,Black,,7-Speed Automatic,AWD,55SWF4KB3FU015230,106
2015 Mercedes-Benz  GLK 350 4MATIC,2015,Mercedes-Benz,30250.0,Napleton Autowerks Loves Park,(855) 789-0937,23968.0,White,,7-Speed Automatic,AWD,WDCGG8JB4FG439012,110
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,37709.0,Wilde Honda,(262) 226-8570,41022.0,Steel Gray Metallic,,7-Speed Automatic w/OD,AWD,4JGDF7CE8EA370335,113
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,45000.0,Fields Jaguar Land Rover Volvo Waukesha,(262) 229-4393,12052.0,Black,,7-Speed Automatic,AWD,4JGDA5HB7HA853238,114
2018 Mercedes-Benz  C 300 4MATIC,2018,Mercedes-Benz,45925.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Black,Black,9-Speed Automatic,AWD,55SWF4KB5JU251435,115
2018 Mercedes-Benz SL 450 Base,2018,Mercedes-Benz,97595.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Black,Black,9-Speed Automatic,RWD,WDDJK6GA3JF051058,117
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,65680.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Lunar Blue Metallic,Beige,9-Speed Automatic,AWD,WDDZF4KBXJA383474,118
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,50521.0,International Porsche of Waukesha,(262) 395-7647,5626.0,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109,121
2018 Mercedes-Benz  C 300 4MATIC,2018,Mercedes-Benz,46525.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,White,Black,9-Speed Automatic,AWD,55SWF4KB1JU248046,123
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,60495.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB9HA173684,127
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,50865.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Lunar Blue Metallic,Beige,9-Speed Automatic,AWD,WDC0G4KB3JV066218,130
2018 Mercedes-Benz  S 560 4MATIC,2018,Mercedes-Benz,114315.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Designo Diamond White,Black,9-Speed Automatic,AWD,WDDUG8GB1JA381815,133
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,50775.0,International Porsche of Waukesha,(262) 395-7647,4501.0,Polar White,Black,9-Speed Automatic,AWD,WDDZF4KB2HA206038,136
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,60175.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Polar White,Black,9-Speed Automatic,AWD,WDDZF4KB7HA137444,138
2014 Mercedes-Benz  GLK 350 4MATIC,2014,Mercedes-Benz,24803.0,Mercedes-Benz of Elmbrook,(262) 510-0488,62517.0,Lunar Blue Metallic,Shara Beige,7-Speed Automatic,AWD,WDCGG8JB1EG291206,142
2013 Mercedes-Benz  E 350 4MATIC,2013,Mercedes-Benz,16798.0,Holiday Mazda,(855) 294-9011,108660.0,Black,Almond / Black,7-Speed Automatic,AWD,WDDHF8JBXDA738779,144
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,43772.0,International Autos,(414) 939-8502,7701.0,Polar White,Silk Beige,9-Speed Automatic,AWD,WDC0G4KB2JV025353,146
2014 Mercedes-Benz  ML 350,2014,Mercedes-Benz,29998.0,CarMax Metro Parc,(414) 214-9772,32895.0,Black,Tan,7-Speed Automatic w/OD,AWD,4JGDA5HB4EA430533,148
2014 Mercedes-Benz  GLK350,2014,Mercedes-Benz,23998.0,CarMax Metro Parc,(414) 214-9772,45008.0,White,Tan,7-Speed Automatic w/OD,RWD,WDCGG5HB7EG174931,151
2014 Mercedes-Benz  GLK 350,2014,Mercedes-Benz,26995.0,Griffin Chevrolet,(414) 375-4241,36131.0,Black,Black,7-Speed Automatic,4Matic,WDCGG8JB1EG310224,152
2013 Mercedes-Benz  E 350,2013,Mercedes-Benz,19290.0,Bull Valley Ford,(888) 649-4692,52467.0,Gray,,Automatic 7-Speed,All Wheel Drive,WDDHF8JB6DA735278,155
2014 Mercedes-Benz  ML 350 4MATIC,2014,Mercedes-Benz,28542.0,BMW of Milwaukee North,(877) 591-3075,47262.0,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB2EA278087,156
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,50944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,9723.0,Selenite Grey Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB1HA852408,157
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,26898.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,21811.0,Polar White,Beige/Black,7-SPEED A/T,All Wheel Drive,55SWF4KB4FU004060,158
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,26944.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,20578.0,Polar White,Silk Beige,7-SPEED A/T,All Wheel Drive,55SWF4KB7FU026232,159
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,26980.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,47842.0,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB4EA870499,160
2015 Mercedes-Benz  GL 450,2015,Mercedes-Benz,40942.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,42415.0,Lunar Blue Metallic,Almond Beige,7-SPEED A/T,All Wheel Drive,4JGDF6EE2FA506760,161
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,50445.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,0.0,Black,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB0JV045519,163
2018 Mercedes-Benz AMG GLE 63 Base 4Matic,2018,Mercedes-Benz,119155.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,0.0,Obsidian Black Metallic,black,7-SPEED A/T,All Wheel Drive,4JGED7FBXJA102408,164
2001 Mercedes-Benz  S500,2001,Mercedes-Benz,3995.0,Car Planet,(414) 292-9743,129530.0,Silver,Gray,5-Speed Automatic,RWD,WDBNG75J51A172773,165
2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,33737.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,30549.0,Polar White,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB3FA529524,167
2015 Mercedes-Benz  GLK 350,2015,Mercedes-Benz,26997.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,32677.0,Polar White,Sahara Beige/Mocha,7-SPEED A/T,All Wheel Drive,WDCGG8JB5FG353644,168
2015 Mercedes-Benz  GL 450,2015,Mercedes-Benz,39990.0,Car Castle,(262) 456-5159,36989.0,Steel Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDF6EE2FA520996,175
2011 Mercedes-Benz  GL 450,2011,Mercedes-Benz,17850.0,4 Wheels of Fox Lake,(847) 629-4507,114574.0,White,Black,7-SPEED A/T,All Wheel Drive,4JGBF7BE6BA676048,176
2014 Mercedes-Benz  CLA 250 4MATIC,2014,Mercedes-Benz,21938.0,Frank Boucher Chevrolet Cadillac of Racine,(866) 672-8974,35005.0,Gray,Black,7-Speed Automatic with Auto-Shift,AWD,WDDSJ4GBXEN160150,177
2013 Mercedes-Benz  E 350,2013,Mercedes-Benz,21230.0,VROOM (Milwaukee),(877) 682-3020,46072.0,White,Tan,7-Speed Automatic w/Manual Shift,RWD,WDDKJ5KB0DF194930,178
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,23730.0,VROOM (Milwaukee),(877) 682-3020,35339.0,Black,Black,Automatic,AWD,WDCTG4GB0FJ034878,179
2017 Mercedes-Benz GLE 350 Base,2017,Mercedes-Benz,48230.0,VROOM (Milwaukee),(877) 682-3020,9083.0,Black,Black,7-Speed Automatic w/OD,RWD,4JGDA5JB8HA884136,184
2015 Mercedes-Benz  SL63 AMG,2015,Mercedes-Benz,84980.0,VROOM (Milwaukee),(877) 682-3020,15740.0,Brown,Tan,Automatic,RWD,WDDJK7EA8FF035101,186
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,24980.0,VROOM (Milwaukee),(877) 682-3020,25571.0,Blue,Gray,7-Speed Automatic w/OD,RWD,55SWF4JBXFU056584,188
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,24980.0,VROOM (Milwaukee),(877) 682-3020,25152.0,Black,Black,7-Speed Automatic w/OD,RWD,55SWF4JBXFU052146,189
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,24480.0,VROOM (Milwaukee),(877) 682-3020,38666.0,White,Black,7-Speed Automatic w/OD,RWD,WDDKJ5KB7EF283315,193
2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,28730.0,VROOM (Milwaukee),(877) 682-3020,51156.0,White,Tan,7-Speed Automatic w/OD,RWD,4JGDA5JB1FA583656,195
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,24480.0,VROOM (Milwaukee),(877) 682-3020,2870.0,Black,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB7EN037957,196
2015 Mercedes-Benz  GLK350,2015,Mercedes-Benz,27480.0,VROOM (Milwaukee),(877) 682-3020,31667.0,White,Tan,Automatic,RWD,WDCGG5HB5FG410977,197
2014 Mercedes-Benz  GLK350,2014,Mercedes-Benz,25480.0,VROOM (Milwaukee),(877) 682-3020,37794.0,White,Black,Automatic,RWD,WDCGG5HB8EG196260,198
2013 Mercedes-Benz  E 350 4MATIC,2013,Mercedes-Benz,14995.0,German Auto House,(608) 467-4941,114796.0,Silver,White,7-Speed Automatic,AWD,WDDHF8JB0DA679788,200
2014 Mercedes-Benz  Sport,2014,Mercedes-Benz,19998.0,CarMax Madison,(608) 286-3923,24850.0,Gray,Black,7-Speed Automatic w/OD,RWD,WDDGF4HB0ER314346,201
2013 Mercedes-Benz  GL 450 4MATIC,2013,Mercedes-Benz,30495.0,Fields Jaguar Land Rover Volvo Cars Madison,(608) 216-2301,64995.0,Black,Black,7-Speed Automatic,AWD,4JGDF7CEXDA193222,202
2013 Mercedes-Benz  GL 450 4MATIC,2013,Mercedes-Benz,27995.0,Schoepp Motors West,(608) 729-3822,93653.0,Lunar Blue Metallic,,7-Speed Automatic,AWD,4JGDF7CE9DA148238,203
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,28900.0,Zimbrick Nissan,(608) 338-0718,22057.0,Mars Red,Silk Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,WDDKJ8JB8EF279034,205
2018 Mercedes-Benz  C 300 4MATIC,2018,Mercedes-Benz,50595.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,Silver,,9-Speed Automatic,AWD,55SWF4KB9JU262647,209
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,64060.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,Black,,7-Speed Automatic,AWD,4JGDA5HB1HA982639,210
2018 Mercedes-Benz GLE 350 Base 4MATIC,2018,Mercedes-Benz,67200.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,Gray Metallic,,7-Speed Automatic,AWD,4JGDA5HB4JB030556,211
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,65630.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,Black,,9-Speed Automatic,AWD,WDDZF4KB4JA399265,212
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,67500.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,Gray,,9-Speed Automatic,AWD,WDDZF4KB8JA425186,213
2018 Mercedes-Benz GLE 350 Base 4MATIC,2018,Mercedes-Benz,67220.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,White,,7-Speed Automatic,AWD,4JGDA5HB6JB103698,214
2016 Mercedes-Benz Sprinter 2500 Normal Roof,2016,Mercedes-Benz,32433.0,Lynch Chrysler Dodge Jeep RAM,(262) 684-4253,13341.0,Arctic White,Black,7-Speed Automatic,RWD,8BRPE7DD3GE123308,216
2014 Mercedes-Benz  E 350 4MATIC,2014,Mercedes-Benz,26534.0,Lynch Chrysler Dodge Jeep RAM,(262) 684-4253,34483.0,Iridium Silver Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB5EA922528,217
2018 Mercedes-Benz  C 300 4MATIC,2018,Mercedes-Benz,48825.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Black,Black,9-Speed Automatic,AWD,WDDWF4KB9JR336487,221
2015 Mercedes-Benz  SLK 250,2015,Mercedes-Benz,33416.0,Mercedes-Benz of Elmbrook,(262) 510-0488,16858.0,Polar White,Two-Tone Brown / Black,7-Speed Automatic,RWD,WDDPK4HA6FF101486,223
2014 Mercedes-Benz  E 550 4MATIC,2014,Mercedes-Benz,34875.0,Mercedes-Benz of Elmbrook,(262) 510-0488,63265.0,Black,Chestnut Brown,7-Speed Automatic,AWD,WDDHF9BB5EA866711,224
2017 Mercedes-Benz Sprinter 2500 Standard Roof,2017,Mercedes-Benz,59412.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Velvet Red,Black,5-Speed Automatic,4WD,WD4FE7CD3HP574541,226
2017 Mercedes-Benz  C 300 4MATIC,2017,Mercedes-Benz,57420.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Designo Diamond White Metallic,Cranberry Red / Black,7-Speed Automatic,AWD,WDDWJ4KB6HF549553,230
2017 Mercedes-Benz AMG C 63 S,2017,Mercedes-Benz,91785.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Obsidian Black Metallic,Black,7-Speed Automatic,RWD,WDDWK8HB9HF498772,239
2015 Mercedes-Benz  GLK 350 4MATIC,2015,Mercedes-Benz,20900.0,Lannon Motors LLC,(414) 455-5644,41088.0,Black,BLACK,AUTO,AWD,WDCGG8JB1FG375205,240
2015 Mercedes-Benz  GLK 350,2015,Mercedes-Benz,25995.0,Alpha Motors,(262) 649-5754,25612.0,Steel Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,WDCGG8JB4FG338231,241
2008 Mercedes-Benz  3.0L CDI,2008,Mercedes-Benz,9995.0,Alpha Motors,(262) 649-5754,133995.0,Silver,Ash,7-SPEED A/T,All Wheel Drive,4JGCB22E38A080049,242
2011 Mercedes-Benz  ML 350 4MATIC,2011,Mercedes-Benz,19995.0,Reina International,(262) 510-2733,59826.0,Black,Black,7-Speed Automatic,AWD,4JGBB8GB4BA692085,243
2008 Mercedes-Benz  E 350 4MATIC,2008,Mercedes-Benz,11995.0,Reina International,(262) 510-2733,94051.0,Black,Black,5-Speed Automatic,AWD,WDBUF87X08B249821,244
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,32997.0,Lenz Truck Center,(920) 933-8265,78590.0,Black,Gray,7-Speed Automatic w/OD,AWD,4JGDF7CE3EA306476,245
2014 Mercedes-Benz  CLA 250,2014,Mercedes-Benz,19892.0,International Autos,(414) 939-8502,52267.0,Midnight Black,Black,7-Speed Automatic with Auto-Shift,FWD,WDDSJ4EB3EN150546,247
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,48443.0,International Autos,(414) 939-8502,5013.0,White,Macchiato,9-Speed Automatic,AWD,WDDZF4KB3HA188102,252
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,25492.0,International Autos,(414) 455-4870,28121.0,Blue Metallic,Beige,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB6FJ083356,253
2013 Mercedes-Benz  ML 350 4MATIC,2013,Mercedes-Benz,20995.0,Diamond Jim's Motorcars,(414) 326-9166,98834.0,Dakota Brown Metallic,Tan,7-Speed Automatic,AWD,4JGDA5HB8DA119833,255
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,26870.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,24981.0,Palladium Silver Metallic,Black,7-SPEED A/T,All Wheel Drive,55SWF4KB8FU047719,257
