_id,ltable_vin,rtable_vin,ltable_name,ltable_year,ltable_maker,ltable_price,ltable_seller_phone,ltable_seller_name,ltable_miles,ltable_exterior_color,ltable_interior_color,rtable_name,rtable_year,rtable_maker,rtable_price,rtable_seller_phone,rtable_seller_name,rtable_miles,rtable_exterior_color,rtable_interior_color,label
4480,WDC0G4KB9JF338488,WDDZF4KB2JA356642,2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,,(414) 203-5342,International Autos,0.0,Selenite Gray Metallic,Black,2018 Mercedes-Benz E-Class E 300,2018.0,Mercedes-Benz,59673.0,847-381-8900,Motor Werks Honda,890.0,Black,Nut Brown / Black,0
4534,WBA8D9G50HNU58694,WBAJA7C37HG458103,2017 BMW 330 i xDrive,2017,BMW,38777.0,(866) 932-0704,BMW of Milwaukee North,9981.0,Mediterranean Blue Metallic,Oyster,2017 BMW 530i xDrive Sedan,2017.0,BMW,,847-265-1122,Zeigler Nissan Gurnee,8914.0,Alpine White,BLACK,0
4536,WBA8D9C51HK677803,WBAJA7C37HG458103,2017 BMW 330 i xDrive,2017,BMW,38987.0,(866) 932-0704,BMW of Milwaukee North,9943.0,Mineral White Metallic,Black,2017 BMW 530i xDrive Sedan,2017.0,BMW,,847-265-1122,Zeigler Nissan Gurnee,8914.0,Alpine White,BLACK,0
4539,WBXHT3C32H5F83029,WBAJA7C37HG458103,2017 BMW X1 xDrive 28i,2017,BMW,38490.0,(866) 932-0704,BMW of Milwaukee North,9062.0,Alpine White,Beige,2017 BMW 530i xDrive Sedan,2017.0,BMW,,847-265-1122,Zeigler Nissan Gurnee,8914.0,Alpine White,BLACK,0
4545,WBXHT3C3XH5F82257,WBAJA7C37HG458103,2017 BMW X1 xDrive 28i,2017,BMW,34385.0,(414) 939-8502,International Autos,8778.0,Alpine White,Black,2017 BMW 530i xDrive Sedan,2017.0,BMW,,847-265-1122,Zeigler Nissan Gurnee,8914.0,Alpine White,BLACK,0
4554,WBA4F9C30HG812246,WBAJA7C37HG458103,2017 BMW 430 Gran Coupe i xDrive,2017,BMW,43888.0,(866) 932-0704,BMW of Milwaukee North,9058.0,Imperial Blue Metallic,Black,2017 BMW 530i xDrive Sedan,2017.0,BMW,,847-265-1122,Zeigler Nissan Gurnee,8914.0,Alpine White,BLACK,0
4718,JTHBE1BL0FA010116,JTHBK1GG3F2186172,2015 Lexus GS 350 4dr Sedan,2015,Lexus,29230.0,(877) 682-3020,VROOM (Milwaukee),26624.0,Silver,Tan,2015 LEXUS ES 350,2015.0,Lexus,28307.0,888-462-0997 888-889-7155,Jack Safro's Lexus of Brookfield,27505.0,Obsidian,BLACK,0
5499,JTHBK1GG3F2208543,JTHBK1GG3F2208543,2015 Lexus ES 350 350,2015,Lexus,27500.0,(262) 510-0474,Lexus of Brookfield,23549.0,Black,Black,2015 LEXUS ES 350,2015.0,Lexus,27500.0,888-462-0997 888-889-7155,Jack Safro's Lexus of Brookfield,23549.0,Black,BLACK,1
5533,JTHBK1GG7F2165521,JTHBK1GG3F2208543,2015 Lexus ES 350,2015,Lexus,27799.0,(877) 591-3075,BMW of Milwaukee North,23580.0,Black,Black,2015 LEXUS ES 350,2015.0,Lexus,27500.0,888-462-0997 888-889-7155,Jack Safro's Lexus of Brookfield,23549.0,Black,BLACK,0
5841,WBAYF4C5XDDE23831,WBAYF4C5XDDE23831,2013 BMW 740 Li xDrive,2013,BMW,25985.0,(414) 939-8502,International Autos,85721.0,Black Sapphire Metallic,Black,2013 BMW 740Li xDrive Sedan,2013.0,BMW,25985.0,,International Alfa Romeo,85721.0,Black Sapphire Metallic,BLACK,1
5900,JTHCE1D29E5002452,JTHBK1GGXE2138523,2014 Lexus IS 350 Base,2014,Lexus,27995.0,(414) 219-1518,Hyundai Greenfield,44939.0,Blue,Alabaster,2014 LEXUS ES 350 Front-wheel Drive,2014.0,Lexus,,877-609-0095,Lexus of Rockford,43675.0,0077 Starfire Pearl,,0
6467,JTJBARBZ5F2030000,JTJBARBZ5F2030000,2015 Lexus NX 200t 200T,2015,Lexus,29111.0,(866) 413-8566,Gordie Boucher Lincoln of West Allis,23832.0,Atomic Silver,Cream,2015 LEXUS NX 200t SUV I-4 cyl,2015.0,Lexus,29111.0,888-450-6819,Gordie Boucher Lincoln West Allis,23832.0,Atomic Silver,CREME,1
6777,WBA3B3G50FNR88674,WBA5A7C5XFD621196,2015 BMW 328 i xDrive,2015,BMW,27990.0,(888) 570-3759,Zimbrick BMW,25579.0,Jet Black,Coral Red Dakota Leather,Used 2015 BMW 528i xDrive Sedan,2015.0,BMW,29800.0,(815) 580-4539,Lou Bachrodt Automall,26154.0,Pyrite Brown Metallic,Black,0
6780,WBA5A7C5XFD621196,WBA5A7C5XFD621196,2015 BMW 528 i xDrive,2015,BMW,29800.0,(815) 580-3161,Lou Bachrodt Automall,26154.0,Pyrite Brown Metallic,Black,Used 2015 BMW 528i xDrive Sedan,2015.0,BMW,29800.0,(815) 580-4539,Lou Bachrodt Automall,26154.0,Pyrite Brown Metallic,Black,1
6793,2T2ZK1BA8FC178147,2T2BK1BA7FC275518,2015 Lexus RX 350 Base,2015,Lexus,25249.0,(920) 541-2495,Kearns Motor Car Co.,52066.0,White,Tan,2015 LEXUS RX 350 SUV V6 DOHC Dual VVT-i 24V,2015.0,Lexus,27000.0,,Van Horn Ford Lomira,51571.0,White,,0
6810,JTJBK1BA8F2465716,2T2BK1BA7FC275518,2015 Lexus RX 350 Base,2015,Lexus,28950.0,(608) 478-2657,Lexus of Madison,50584.0,Fire Agate Pearl,Parchment,2015 LEXUS RX 350 SUV V6 DOHC Dual VVT-i 24V,2015.0,Lexus,27000.0,,Van Horn Ford Lomira,51571.0,White,,0
6962,WBA3C3C56FP663843,WBA3C3C56FP663843,2015 BMW 320 i xDrive,2015,BMW,17995.0,(414) 219-1518,Hyundai Greenfield,73086.0,Jet Black,Black,2015 BMW 3 Series 320i Xdrive Sedan,2015.0,BMW,17995.0,414-543-3000,INTERNATIONAL AUTOS GROUP,73086.0,Jet Black,Black,1
7405,WBA8D9G53JNU67833,WBA4J3C5XJBG91177,2018 BMW 330 i xDrive,2018,BMW,50510.0,(877) 591-3075,BMW of Milwaukee North,4842.0,Gray,Beige,2018 BMW 430i xDrive Gran Coupe,2018.0,BMW,48855.0,888-258-1784 888-258-6303,Concours BMW,4462.0,Jet Black,BLACK,0
7410,WBA8D9C51HK677803,WBA8F1C35HK825719,2017 BMW 330 i xDrive,2017,BMW,38987.0,(866) 932-0704,BMW of Milwaukee North,9943.0,Mineral White Metallic,Black,2017 BMW 3 Series 328d xDrive AWD,2017.0,BMW,39555.0,888-570-6761 888-570-6837,Motorwerks of Barrington,10514.0,Melbourne Red Metallic,Black,0
7563,WBAUU3C59BA541542,WBAUU3C59BA541542,2011 BMW 328 i xDrive,2011,BMW,13495.0,(414) 939-8502,International Autos,111398.0,Titanium Silver Metallic,Black,2011 BMW 328i xDrive 328i Xdrive Sports Wagon,2011.0,BMW,13495.0,,International Alfa Romeo,111398.0,Titanium Silver Metallic,Black,1
7732,55SWF4KB5HU231261,55SWF4KB0HU215453,2017 Mercedes-Benz  C 300,2017,Mercedes-Benz,42762.0,(888) 821-6594,Mercedes-Benz of Milwaukee North,5041.0,Black,Black,2017 Mercedes-Benz C-Class C 300 Sedan,2017.0,Mercedes-Benz,44389.0,877-650-2166,Umansky Motor Cars,3998.0,Iridium Silver Metallic,BLACK,0
7780,55SWF4KB0HU215453,55SWF4KB0HU215453,2017 Mercedes-Benz  C 300,2017,Mercedes-Benz,44389.0,(888) 821-6594,Mercedes-Benz of Milwaukee North,3998.0,Iridium Silver Metallic,Black,2017 Mercedes-Benz C-Class C 300 Sedan,2017.0,Mercedes-Benz,44389.0,877-650-2166,Umansky Motor Cars,3998.0,Iridium Silver Metallic,BLACK,1
8189,WDDGF8BB9BR164667,WDDGF8BB9BR164667,2011 Mercedes-Benz  C 300 Sport,2011,Mercedes-Benz,10998.0,(414) 375-4859,Heiser Toyota,81185.0,Arctic White,Black,2011 Mercedes-Benz C-Class Sport,2011.0,Mercedes-Benz,10998.0,888-417-1323 866-752-7864,Heiser Chevrolet Cadillac of West Bend,81185.0,Arctic White,Black,1
8292,4JGDF6EE5HA758473,WDDSJ4GB4HN409613,2017 Mercedes-Benz GLS 450 Base 4MATIC,2017,Mercedes-Benz,70990.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,19206.0,Palladium Silver Metallic,Black,2017 Mercedes-Benz CLA CLA 250 4matic AWD CLA 250 4MATIC Sedan,2017.0,Mercedes-Benz,,847-265-1122,Zeigler Nissan Gurnee,17677.0,Night Black,,0
8590,WBANV9C50AC136760,WBANV9C50AC136760,2010 BMW 535 i xDrive,2010,BMW,13785.0,(414) 939-8502,International Autos,52162.0,Space Gray Metallic,Black,2010 BMW 535i xDrive Sedan,2010.0,BMW,13785.0,,International Alfa Romeo,52162.0,Space Gray Metallic,Black,1
8810,JTHCE1D29F5007121,JTHCE1D29F5007121,2015 Lexus IS 350,2015,Lexus,30998.0,(608) 286-3923,CarMax Madison,27698.0,Red,Black,2015 Lexus IS 350,2015.0,Lexus,30998.0,608-286-3969,Carmax Madison,28000.0,Red,Black,1
8836,JTHCE1BLXFA002397,JTHCE1D29F5007121,2015 Lexus GS 350,2015,Lexus,32950.0,(608) 478-2657,Lexus of Madison,27890.0,Nebula Gray Pearl,Flaxen,2015 Lexus IS 350,2015.0,Lexus,30998.0,608-286-3969,Carmax Madison,28000.0,Red,Black,0
8904,WBA4B3C52FD669955,WBA4C9C58FD330682,2015 BMW 435 Gran Coupe i xDrive,2015,BMW,28888.0,(815) 580-3161,Lou Bachrodt Automall,46895.0,Black,Coral Red / Black,2015 BMW 428i xDrive Gran Coupe,2015.0,BMW,29395.0,,International Alfa Romeo,48687.0,Black Sapphire Metallic,Black,0
8920,WBA5A7C56FD624113,WBA4C9C58FD330682,2015 BMW 528 i xDrive,2015,BMW,28130.0,(563) 239-2223,Deery Brothers of Dubuque,49964.0,Alpine White,Black,2015 BMW 428i xDrive Gran Coupe,2015.0,BMW,29395.0,,International Alfa Romeo,48687.0,Black Sapphire Metallic,Black,0
9144,JTJHF10U220261141,JTJHF10U220261141,2002 Lexus RX 300 300,2002,Lexus,5997.0,(888) 377-2649,Diamond Jim's West Allis,168422.0,White,Tan,2002 LEXUS RX 300 Base SUV,2002.0,Lexus,5997.0,888-261-9579,Diamond Jim's Motorcars,168422.0,White,TAN,1
9363,4JGDF6EE7HA907580,4JGDF6EE7HA907580,2017 Mercedes-Benz GLS 450 Base 4MATIC,2017,Mercedes-Benz,71599.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,7772.0,Lunar Blue Metallic,beige,2017 Mercedes-Benz GLS-Class GLS 450 SUV,2017.0,Mercedes-Benz,71599.0,877-650-2166,Umansky Motor Cars,7772.0,Lunar,BEIGE,1
9568,WBA8Z5C58GGS37573,WBA8Z5C58GGS37573,2016 BMW 328 Gran Turismo i xDrive,2016,BMW,30974.0,(888) 570-3759,Zimbrick BMW,32383.0,Black Sapphire Metallic,Leather Dakota Black,2016 BMW 3 Series Gran Turismo 5dr 328i xDrive Gran Turismo AWD SU,2016.0,BMW,30974.0,608-620-7188,Zimbrick Inc,32383.0,Black Sapphire Metallic,Black/Excl. Stitch,1
9611,WBA3G7C58EKN36728,WBA5B3C57ED538894,2014 BMW 328 i xDrive,2014,BMW,27555.0,(866) 932-0704,BMW of Milwaukee North,37872.0,Jet Black,Coral Red,Used 2014 BMW 535i xDrive Sedan,2014.0,BMW,29000.0,,MCGRATH CADILLAC,37528.0,Black,,0
9952,WDDZF4KB0HA035600,WDDZF4KB4HA231748,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,54225.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,7298.0,Iridium Silver Metallic,Black,2017 Mercedes-Benz E 300 Sport 4MATIC Sedan,2017.0,Mercedes-Benz,52615.0,(608) 258-4000,Zimbrick European,5582.0,Polar White,Macchiato Beige/ Black MB-Tex,0
10016,55SWF4KB7HU215112,WDDZF4KB4HA231748,2017 Mercedes-Benz  C 300,2017,Mercedes-Benz,,(888) 821-5863,Mercedes-Benz of Milwaukee North,4878.0,Black,Black,2017 Mercedes-Benz E 300 Sport 4MATIC Sedan,2017.0,Mercedes-Benz,52615.0,(608) 258-4000,Zimbrick European,5582.0,Polar White,Macchiato Beige/ Black MB-Tex,0
10095,2T2BK1BA2FC257329,2T2BK1BA9FC266772,2015 Lexus RX 350 Base,2015,Lexus,28598.0,(414) 375-4859,Heiser Toyota,34405.0,Obsidian,Black w/Leather Seat Trim or Semi-Aniline Leather,Pre-Owned 2015 Lexus RX 350 Stock:KFC266772,2015.0,Lexus,28875.0,(888) 336-6441,Volkswagen of Milwaukee North,36070.0,Gray,Black,0
10150,2T2BK1BA4FC319278,2T2BK1BA9FC266772,2015 Lexus RX 350,2015,Lexus,27998.0,(608) 286-3923,CarMax Madison,35879.0,White,Black,Pre-Owned 2015 Lexus RX 350 Stock:KFC266772,2015.0,Lexus,28875.0,(888) 336-6441,Volkswagen of Milwaukee North,36070.0,Gray,Black,0
10352,4JGDA5HB5CA016030,4JGDA5HB5CA016030,2012 Mercedes-Benz  ML 350 4MATIC,2012,Mercedes-Benz,21080.0,(877) 465-8196,Kunes Country Chevrolet GMC Buick of Elkhorn,83500.0,Black,Almond Beige,2012 Mercedes-Benz ML 350 4MATIC,2012.0,Mercedes-Benz,21080.0,888-446-6028 888-439-7059,Kunes Country Ford Lincoln,83500.0,Black,Almond Beige,1
10417,WBA4F9C32HG812006,WBA4F9C36HG812641,2017 BMW 430 Gran Coupe i xDrive,2017,BMW,48555.0,(866) 932-0704,BMW of Milwaukee North,9999.0,Glacier Silver Metallic,Black,2017 BMW 430i xDrive w/SULEV Gran Coupe,2017.0,BMW,48776.0,888-258-1784 888-258-6303,Concours BMW,9091.0,Glacier Silver,BLACK,0
10467,JT6HT00W5W0022669,JT6HT00W5W0022669,1998 Lexus LX 470,1998,Lexus,5995.0,(414) 326-9166,Diamond Jim's Motorcars,320929.0,Black,Tan,1998 LEXUS LX 470 Base SUV,1998.0,Lexus,5995.0,888-261-9579,Diamond Jim's Motorcars,320929.0,Black Onyx/UCA76,TAN,1
10468,JTHSE5BC3F5003547,JTHSE5BC3F5003547,2015 Lexus RC 350 Base,2015,Lexus,31950.0,(608) 478-2657,Lexus of Madison,27031.0,Silver Lining Metallic,Black,2015 Lexus RC 350,2015.0,Lexus,31950.0,877-510-3625 877-545-4105,Lexus of Madison,27031.0,SILVER LINING METALLIC,BLACK,1
10479,2T2BK1BA3FC293952,JTHSE5BC3F5003547,2015 Lexus RX 350,2015,Lexus,31500.0,(262) 373-6622,Lexus of Brookfield,28714.0,Black,Black,2015 Lexus RC 350,2015.0,Lexus,31950.0,877-510-3625 877-545-4105,Lexus of Madison,27031.0,SILVER LINING METALLIC,BLACK,0
10491,2T2BK1BA7FC297440,JTHSE5BC3F5003547,2015 Lexus RX 350 Base,2015,Lexus,31989.0,(815) 580-3162,Wheels by RT,27988.0,Stargazer Black,Saddle,2015 Lexus RC 350,2015.0,Lexus,31950.0,877-510-3625 877-545-4105,Lexus of Madison,27031.0,SILVER LINING METALLIC,BLACK,0
10496,JTHCE1D29F5007121,JTHSE5BC3F5003547,2015 Lexus IS 350,2015,Lexus,30998.0,(608) 286-3923,CarMax Madison,27698.0,Red,Black,2015 Lexus RC 350,2015.0,Lexus,31950.0,877-510-3625 877-545-4105,Lexus of Madison,27031.0,SILVER LINING METALLIC,BLACK,0
10897,WA1L2AFP3GA004009,WAUFGAFC0GN003343,2016 Audi Q5 quattro 4dr 2.0T Premium Plus,2016,Audi,31400.0,,Zimbrick European,44444.0,Brilliant Black,Black,2016 Audi A6 3.0T Premium Plus Sedan,2016.0,Audi,,414-543-3000,INTERNATIONAL AUTOS GROUP,43488.0,Ibis white,Black,0
11633,5UXWX9C34H0W75246,5UXWX9C33H0W70152,2017 BMW X3 xDrive28i,2017,BMW,44455.0,(877) 591-3075,BMW of Milwaukee North,4493.0,Mineral White Metallic,Black,2017 BMW X3 xDrive28i SAV,2017.0,BMW,44955.0,888-258-1784 888-258-6303,Concours BMW,4766.0,Black Sapphire,BLACK,0
11672,WA1LFAFP7FA056486,WA1CFAFP9FA030486,2015 Audi Q5 2.0T Premium,2015,Audi,26230.0,(877) 682-3020,VROOM (Milwaukee),50465.0,Silver,Black,2015 Audi Q5 AWD Premium:,2015.0,Audi,,920-922-8818,Lenz Sales & Service,48770.0,Gray,Black,0
11686,WA1LGAFE6FD006141,WA1CFAFP9FA030486,2015 Audi Q7 3.0T Premium Plus,2015,Audi,33000.0,(414) 939-8502,International Autos,46983.0,Daytona Gray Pearl,Limestone,2015 Audi Q5 AWD Premium:,2015.0,Audi,,920-922-8818,Lenz Sales & Service,48770.0,Gray,Black,0
