name,year,maker,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_madison,exterior_color,interior_color,transmission,drivetrain,vin,id
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Gray,66350.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Gray,,9-Speed Automatic,AWD,WDDZF4KB3JA400485,10
2007 Mercedes-Benz  R 350 4MATIC,2007,Mercedes-Benz,Other,10995.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,122845.0,55,,,7-Speed Automatic,AWD,4JGCB65E07A047267,11
2018 Mercedes-Benz  S 450 4MATIC,2018,Mercedes-Benz,Silver,107215.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Iridium Silver,,9-Speed Automatic,AWD,WDDUG6EB9JA357043,12
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,Black,52495.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Black,,9-Speed Automatic,AWD,WDC0G4KB8JV067980,13
2013 Mercedes-Benz  C 300 Sport 4MATIC,2013,Mercedes-Benz,Silver,18500.0,Napleton Autowerks Loves Park,(855) 789-0937,4.9,522.0,46932.0,55,Silver,,7-Speed Automatic,AWD,WDDGF8AB7DR287131,14
2014 Mercedes-Benz  GL 450 4MATIC,2014,Mercedes-Benz,Black,33424.0,Boucher Hyundai,(866) 508-6541,4.9,881.0,54577.0,60,Black,Black,7-Speed Automatic,AWD,4JGDF7CE1EA403577,15
2017 Mercedes-Benz Metris Base,2017,Mercedes-Benz,White,44610.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Mountain Crystal White Metallic,Black,7-Speed Automatic,RWD,WD4PG2EE5H3321364,16
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,Black,65665.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Black,Black,9-Speed Automatic,AWD,WDDZF4KB3HA282271,17
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Black,62060.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Black,Black,9-Speed Automatic,AWD,WDDZF4KBXJA370451,18
2017 Mercedes-Benz  C 300 4MATIC,2017,Mercedes-Benz,White,58150.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Polar White,Silk Beige / Black,9-Speed Automatic,AWD,WDDWK4KB6HF509552,19
2018 Mercedes-Benz CLA 250 Base 4MATIC,2018,Mercedes-Benz,Red,39650.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Jupiter Red,Black,7-Speed Automatic with Auto-Shift,AWD,WDDSJ4GB3JN597255,20
2013 Mercedes-Benz  C 300 4MATIC,2013,Mercedes-Benz,Black,16645.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,62917.0,61,Black,Black,7-Speed Automatic,AWD,WDDGF8AB6DR287461,21
2015 Mercedes-Benz  ML 350 4MATIC,2015,Mercedes-Benz,White,31681.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,35346.0,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177,22
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Gray,26522.0,Mercedes-Benz of Elmbrook,(262) 510-0488,4.5,39.0,30381.0,61,Mountain Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB8FJ067563,23
2018 Mercedes-Benz AMG C 43 Base 4MATIC,2018,Mercedes-Benz,Black,63835.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Obsidian Black Metallic,Black,9-Speed Automatic,AWD,55SWF6EB5JU256965,24
2018 Mercedes-Benz AMG C 43 Base 4MATIC,2018,Mercedes-Benz,Gray,72330.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Selenite Gray Metallic,Black,9-Speed Automatic,AWD,WDDWK6EB5JF662033,28
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,Blue,61945.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Lunar Blue Metallic,Macchiato,9-Speed Automatic,AWD,WDDZF4KB5HA239616,29
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,Silver,22998.0,CarMax Waukesha,(262) 207-2339,,,31428.0,61,Silver,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB8EN067839,30
2011 Mercedes-Benz  C 300 Sport,2011,Mercedes-Benz,White,10998.0,Heiser Toyota,(414) 375-4859,4.8,823.0,81185.0,67,Arctic White,Black,Automatic 7-Speed,All Wheel Drive,WDDGF8BB9BR164667,31
2014 Mercedes-Benz  E 350 4MATIC,2014,Mercedes-Benz,Silver,19990.0,Boucher Volkswagen Marketplace of Franklin,(866) 571-8206,5.0,58.0,77403.0,68,Iridium Silver Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB6EA921596,32
2014 Mercedes-Benz  SLK250,2014,Mercedes-Benz,Blue,25998.0,CarMax Metro Parc,(414) 214-9772,4.0,2.0,29960.0,68,Blue,Tan,7-Speed Automatic w/OD,RWD,WDDPK4HA4EF080815,33
2014 Mercedes-Benz  C 300,2014,Mercedes-Benz,White,21995.0,Griffin Chevrolet,(414) 375-4241,4.8,57.0,39293.0,68,White,Black,7G-TRONIC PLUS 7-Speed Automatic,4Matic,WDDGF8AB9ER310538,34
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Black,25998.0,CarMax Metro Parc,(414) 214-9772,4.0,2.0,14334.0,68,Black,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GB4FJ056401,35
2014 Mercedes-Benz  ML 550 4MATIC,2014,Mercedes-Benz,White,34333.0,BMW of Milwaukee North,(877) 591-3075,4.8,106.0,37645.0,73,Diamond White Metallic,Black,7-Speed Automatic,AWD,4JGDA7DB2EA364226,36
2010 Mercedes-Benz  C 300,2010,Mercedes-Benz,White,10990.0,Runde Chevrolet,(888) 380-6201,4.8,108.0,93487.0,73,White,,7-Speed Automatic,AWD,WDDGF8BB2AF402701,37
2014 Mercedes-Benz  GLK 350,2014,Mercedes-Benz,White,23994.0,INFINITI North Shore,(888) 675-1554,,,28493.0,73,Diamond White Metallic,Black,7-Speed Automatic,4Matic,WDCGG8JB3EG289120,38
2014 Mercedes-Benz  CLA 250,2014,Mercedes-Benz,Gray,22252.0,Andrew Toyota,(866) 786-0878,4.9,1461.0,20880.0,73,Mountain Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDSJ4GB8EN146473,39
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Black,28595.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,26764.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB5EB032122,40
2016 Mercedes-Benz  GLE 450 AMG,2016,Mercedes-Benz,Blue,58863.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,17181.0,74,Lunar Blue Metallic,Crystal Grey/Black,9-SPEED A/T,All Wheel Drive,4JGED6EB8GA044433,41
2015 Mercedes-Benz  S 550,2015,Mercedes-Benz,White,82879.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,20810.0,74,Designo Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDXJ8FB8FA001201,42
2015 Mercedes-Benz  C 350,2015,Mercedes-Benz,Red,29989.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25415.0,74,Mars Red,Sport Black,7-SPEED A/T,All Wheel Drive,WDDGJ8JB3FG369502,43
2015 Mercedes-Benz  CLA 250,2015,Mercedes-Benz,Black,24672.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,21970.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDSJ4GB2FN199137,44
2014 Mercedes-Benz  CLS 550,2014,Mercedes-Benz,White,39993.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,25992.0,74,Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDLJ9BB2EA118815,45
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,Silver,25298.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,29556.0,74,Iridium Silver Metallic,Black,7-SPEED A/T,All Wheel Drive,55SWF4KB9FU008900,46
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,Red,48705.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,9667.0,74,Designo Cardinal Red Metallic,Ginger Beige/Espresso Brown,7-SPEED A/T,All Wheel Drive,4JGDA5HB0HA929009,47
2014 Mercedes-Benz  GLK 350,2014,Mercedes-Benz,White,24950.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,52775.0,74,Polar White,Black,7-SPEED A/T,All Wheel Drive,WDCGG8JB3EG179037,48
2014 Mercedes-Benz  GL 450,2014,Mercedes-Benz,Gray,39966.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,39313.0,74,Steel Gray Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDF7CE9EA374877,49
2014 Mercedes-Benz  E 350 4MATIC,2014,Mercedes-Benz,Black,21995.0,GS Auto,(414) 930-1646,4.9,25.0,59720.0,75,Obsidian Black Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB5EA797269,50
1998 Mercedes-Benz  4dr AWD,1998,Mercedes-Benz,Red,2950.0,4 Wheels of Fox Lake,(847) 629-4507,5.0,79.0,211647.0,77,Maroon,Gray,5-SPEED A/T,Four Wheel Drive,4JGAB54E8WA008282,51
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,Silver,45980.0,VROOM (Milwaukee),(877) 682-3020,,,3531.0,73,Silver,Black,9-Speed Automatic w/OD,RWD,WDDZF4JB2HA229837,52
2016 Mercedes-Benz  E 350,2016,Mercedes-Benz,Silver,33480.0,VROOM (Milwaukee),(877) 682-3020,,,23821.0,73,Silver,Gray,7-Speed Automatic w/OD,RWD,WDDHF5KB9GB329684,53
2014 Mercedes-Benz  CLS550,2014,Mercedes-Benz,Gray,33980.0,VROOM (Milwaukee),(877) 682-3020,,,37762.0,73,Gray,Black,7-Speed Automatic w/OD,RWD,WDDLJ7DB6EA093130,54
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Red,22480.0,VROOM (Milwaukee),(877) 682-3020,,,32276.0,73,Red,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDCTG4EBXFJ119391,55
2016 Mercedes-Benz  C300 4MATIC Sport,2016,Mercedes-Benz,Gray,27480.0,VROOM (Milwaukee),(877) 682-3020,,,24387.0,73,Gray,Gray,7-Speed Automatic w/OD,AWD,55SWF4KB1GU137456,56
2015 Mercedes-Benz  C 400 4MATIC,2015,Mercedes-Benz,White,27980.0,VROOM (Milwaukee),(877) 682-3020,,,44754.0,73,White,Black,7-Speed Automatic w/OD,AWD,55SWF6GB7FU019883,57
2015 Mercedes-Benz  ML400,2015,Mercedes-Benz,Gray,38480.0,VROOM (Milwaukee),(877) 682-3020,,,25832.0,73,Gray,Tan,7-Speed Automatic w/OD,AWD,4JGDA5GBXFA535838,58
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,Gray,21730.0,VROOM (Milwaukee),(877) 682-3020,,,36626.0,73,Gray,Gray,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB9EN128065,59
2016 Mercedes-Benz  CLA 250,2016,Mercedes-Benz,White,23980.0,VROOM (Milwaukee),(877) 682-3020,,,25693.0,73,White,Tan,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB5GN360651,60
2014 Mercedes-Benz  CLS550,2014,Mercedes-Benz,Gray,36980.0,VROOM (Milwaukee),(877) 682-3020,,,29875.0,73,Gray,Black,7-Speed Automatic w/OD,RWD,WDDLJ7DBXEA095155,61
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,2018,Mercedes-Benz,White,65980.0,VROOM (Milwaukee),(877) 682-3020,,,9879.0,73,White,Black,9-Speed Automatic w/OD,AWD,4JGDA6EB1JA997206,62
2016 Mercedes-Benz  GLA 250,2016,Mercedes-Benz,Red,26730.0,VROOM (Milwaukee),(877) 682-3020,,,21133.0,73,Red,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GB5GJ191291,63
2013 Mercedes-Benz  C250 Luxury,2013,Mercedes-Benz,Blue,16230.0,VROOM (Milwaukee),(877) 682-3020,,,47065.0,73,Blue,Black,7-Speed Automatic,RWD,WDDGF4HB4DR250214,64
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Gray,23230.0,VROOM (Milwaukee),(877) 682-3020,,,56262.0,73,Gray,Gray,7-Speed Automatic w/OD,RWD,WDDKJ5KB8EF238724,65
2015 Mercedes-Benz  S 550,2015,Mercedes-Benz,Black,78980.0,VROOM (Milwaukee),(877) 682-3020,,,18683.0,73,Black,Black,Automatic,AWD,WDDXJ8FB6FA009362,66
2015 Mercedes-Benz  E 350,2015,Mercedes-Benz,Black,30980.0,VROOM (Milwaukee),(877) 682-3020,,,35869.0,73,Black,Black,7-Speed Automatic w/OD,RWD,WDDHF5KB8FB100167,67
2015 Mercedes-Benz  E 350,2015,Mercedes-Benz,Black,30980.0,VROOM (Milwaukee),(877) 682-3020,,,35705.0,73,Black,Black,7-Speed Automatic w/OD,RWD,WDDHF5KBXFB112322,68
2016 Mercedes-Benz  C300 Luxury,2016,Mercedes-Benz,White,26230.0,VROOM (Milwaukee),(877) 682-3020,,,31045.0,73,White,Tan,7-Speed Automatic w/OD,RWD,55SWF4JB8GU145278,69
2015 Mercedes-Benz  C300 4MATIC,2015,Mercedes-Benz,Brown,25480.0,VROOM (Milwaukee),(877) 682-3020,,,22074.0,73,Brown,Tan,7-Speed Automatic w/OD,AWD,55SWF4KBXFU021705,70
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,Brown,23730.0,VROOM (Milwaukee),(877) 682-3020,,,46141.0,73,Brown,Tan,7-Speed Automatic w/OD,RWD,55SWF4JB8FU060679,71
2016 Mercedes-Benz  C300 Sport,2016,Mercedes-Benz,Black,26730.0,VROOM (Milwaukee),(877) 682-3020,,,32263.0,73,Black,Black,7-Speed Automatic w/OD,RWD,55SWF4JB6GU126230,72
2016 Mercedes-Benz  E 350,2016,Mercedes-Benz,Black,36480.0,VROOM (Milwaukee),(877) 682-3020,,,22152.0,73,Black,Black,7-Speed Automatic w/OD,RWD,WDDHF5KB4GB290597,73
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Black,31980.0,VROOM (Milwaukee),(877) 682-3020,,,30412.0,73,Black,Black,7-Speed Automatic w/OD,RWD,WDDKK5KF8EF269018,74
2015 Mercedes-Benz  C300 4MATIC,2015,Mercedes-Benz,Silver,28730.0,VROOM (Milwaukee),(877) 682-3020,,,3827.0,73,Silver,Gray,7-Speed Automatic w/OD,AWD,55SWF4KB4FU036135,75
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,White,21730.0,VROOM (Milwaukee),(877) 682-3020,,,52168.0,73,White,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GB3FJ029125,76
2014 Mercedes-Benz  CLS550,2014,Mercedes-Benz,Gray,34730.0,VROOM (Milwaukee),(877) 682-3020,,,47733.0,73,Gray,Black,7-Speed Automatic w/OD,RWD,WDDLJ7DB2EA122350,77
2013 Mercedes-Benz  ML 350,2013,Mercedes-Benz,White,25780.0,VROOM (Milwaukee),(877) 682-3020,,,48637.0,73,White,Black,7-Speed Automatic w/Manual Shift,RWD,4JGDA5JBXDA161916,78
2014 Mercedes-Benz  CLS550,2014,Mercedes-Benz,Black,37230.0,VROOM (Milwaukee),(877) 682-3020,,,35327.0,73,Black,Black,7-Speed Automatic w/OD,RWD,WDDLJ7DB8EA127696,79
2014 Mercedes-Benz  E 350 Sport 4dr Sedan,2014,Mercedes-Benz,White,23980.0,VROOM (Milwaukee),(877) 682-3020,,,55772.0,73,White,Tan,7-Speed Automatic w/OD,RWD,WDDHF5KB7EA831676,80
2014 Mercedes-Benz  E 350 Sport 4dr Sedan,2014,Mercedes-Benz,Gray,23230.0,VROOM (Milwaukee),(877) 682-3020,,,51101.0,73,Gray,Tan,7-Speed Automatic w/OD,RWD,WDDHF5KB6EA788996,81
2014 Mercedes-Benz  ML 350,2014,Mercedes-Benz,Black,29730.0,VROOM (Milwaukee),(877) 682-3020,,,29054.0,73,Black,Black,Automatic,RWD,4JGDA5JB2EA391788,82
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Blue,25480.0,VROOM (Milwaukee),(877) 682-3020,,,47700.0,73,Blue,Black,7-Speed Automatic w/OD,AWD,WDDKJ8JB6EF278982,83
2017 Mercedes-Benz  E 300 4MATIC,2017,Mercedes-Benz,Silver,46230.0,VROOM (Milwaukee),(877) 682-3020,,,9909.0,73,Silver,Black,9-Speed Automatic w/OD,AWD,WDDZF4KBXHA036317,84
2015 Mercedes-Benz  S 550,2015,Mercedes-Benz,Black,51480.0,VROOM (Milwaukee),(877) 682-3020,,,47734.0,73,Black,Black,7-Speed Automatic w/OD,AWD,WDDUG8FB3FA069407,85
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Silver,26480.0,VROOM (Milwaukee),(877) 682-3020,,,26609.0,73,Silver,Black,7-Speed Automatic w/OD,RWD,WDDKJ5KB2EF239545,86
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Black,27980.0,VROOM (Milwaukee),(877) 682-3020,,,49206.0,73,Black,Black,7-Speed Automatic w/OD,RWD,WDDKK5KF8EF249206,87
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Black,26480.0,VROOM (Milwaukee),(877) 682-3020,,,37599.0,73,Black,Black,7-Speed Automatic w/OD,RWD,WDDKJ5KB2EF284498,88
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,Gray,23730.0,VROOM (Milwaukee),(877) 682-3020,,,21867.0,73,Gray,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EBXEN159289,89
2016 Mercedes-Benz  GLE 300d,2016,Mercedes-Benz,White,40730.0,VROOM (Milwaukee),(877) 682-3020,,,31779.0,73,White,Black,7-Speed Automatic w/OD,AWD,4JGDA0EB6GA641663,90
2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,Blue,30730.0,VROOM (Milwaukee),(877) 682-3020,,,39215.0,73,Blue,Gray,7-Speed Automatic w/OD,AWD,4JGDA5HB4FA584970,91
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,Gray,22980.0,VROOM (Milwaukee),(877) 682-3020,,,46822.0,73,Gray,Black,7-Speed Automatic w/OD,RWD,55SWF4JB1FU054318,92
2015 Mercedes-Benz  C300 4MATIC,2015,Mercedes-Benz,Black,24730.0,VROOM (Milwaukee),(877) 682-3020,,,41071.0,73,Black,Black,7-Speed Automatic w/OD,AWD,55SWF4KB3FU023442,93
2017 Mercedes-Benz GLE 350 Base,2017,Mercedes-Benz,White,47480.0,VROOM (Milwaukee),(877) 682-3020,,,9229.0,73,White,Tan,7-Speed Automatic w/OD,RWD,4JGDA5JB1HA927506,94
2014 Mercedes-Benz  ML 350,2014,Mercedes-Benz,Gray,27480.0,VROOM (Milwaukee),(877) 682-3020,,,61328.0,73,Gray,Gray,7-Speed Automatic w/OD,AWD,4JGDA5HB8EA434164,95
2014 Mercedes-Benz  GLK350,2014,Mercedes-Benz,Gray,25230.0,VROOM (Milwaukee),(877) 682-3020,,,30220.0,73,Gray,Tan,7-Speed Automatic w/OD,RWD,WDCGG5HB3EG295519,96
2015 Mercedes-Benz  S 550,2015,Mercedes-Benz,Black,50730.0,VROOM (Milwaukee),(877) 682-3020,,,46812.0,73,Black,Black,7-Speed Automatic w/OD,AWD,WDDUG8FB9FA178082,97
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Silver,25230.0,VROOM (Milwaukee),(877) 682-3020,,,40305.0,73,Silver,Gray,7-Speed Automatic w/OD,RWD,WDDKJ5KB0EF239513,98
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,White,31480.0,VROOM (Milwaukee),(877) 682-3020,,,43817.0,73,White,Tan,7-Speed Automatic w/OD,RWD,WDDKK5KF7EF254039,99
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,White,34998.0,CarMax Madison,(608) 286-3923,4.3,3.0,57218.0,5,White,Tan,7-Speed Automatic w/OD,AWD,4JGDF7CE1EA410478,100
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Black,25998.0,CarMax Madison,(608) 286-3923,4.3,3.0,26442.0,5,Black,Tan,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GBXFJ092318,101
2014 Mercedes-Benz  CLA250 4MATIC,2014,Mercedes-Benz,White,23998.0,CarMax Madison,(608) 286-3923,4.3,3.0,20986.0,5,White,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDDSJ4GB2EN143634,102
2013 Mercedes-Benz  GL 450 4MATIC,2013,Mercedes-Benz,White,33944.0,Stark Automotive Stoughton,(608) 205-4260,4.6,57.0,65237.0,12,Diamond White Metallic,Almond Beige,7-Speed Automatic,AWD,4JGDF7CE5DA249101,103
2005 Mercedes-Benz  E500 4MATIC,2005,Mercedes-Benz,Silver,8995.0,Pete Raskovic Automotive,(888) 285-2231,,,138005.0,33,Silver,Black,5-Speed Automatic,AWD,WDBUF83J25X171896,104
2012 Mercedes-Benz  ML 350 4MATIC,2012,Mercedes-Benz,Black,21080.0,Kunes Country Chevrolet GMC Buick of Elkhorn,(877) 465-8196,4.9,298.0,83500.0,51,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB5CA016030,105
2015 Mercedes-Benz  C 300 Luxury,2015,Mercedes-Benz,Black,25500.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,49805.0,55,Black,,7-Speed Automatic,AWD,55SWF4KB3FU015230,106
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Gray,23500.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,68231.0,55,Gray,,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB0FJ030667,107
2018 Mercedes-Benz CLA 250 Base 4MATIC,2018,Mercedes-Benz,White,39280.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,White,,7-Speed Automatic with Auto-Shift,AWD,WDDSJ4GB5JN550356,108
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,White,47245.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Polar White,,9-Speed Automatic,AWD,WDC0G4KB4JV067989,109
2015 Mercedes-Benz  GLK 350 4MATIC,2015,Mercedes-Benz,White,30250.0,Napleton Autowerks Loves Park,(855) 789-0937,4.9,522.0,23968.0,55,White,,7-Speed Automatic,AWD,WDCGG8JB4FG439012,110
2018 Mercedes-Benz AMG C 43 Base 4MATIC,2018,Mercedes-Benz,White,62065.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Polar White,,9-Speed Automatic,AWD,55SWF6EB4JU261154,111
2018 Mercedes-Benz GLS 450 Base 4MATIC,2018,Mercedes-Benz,Black,82290.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Black,,9-Speed Automatic,AWD,4JGDF6EE8JB106463,112
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,Gray,37709.0,Wilde Honda,(262) 226-8570,4.5,631.0,41022.0,60,Steel Gray Metallic,,7-Speed Automatic w/OD,AWD,4JGDF7CE8EA370335,113
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,Black,45000.0,Fields Jaguar Land Rover Volvo Waukesha,(262) 229-4393,4.6,57.0,12052.0,60,Black,,7-Speed Automatic,AWD,4JGDA5HB7HA853238,114
2018 Mercedes-Benz  C 300 4MATIC,2018,Mercedes-Benz,Black,45925.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Black,Black,9-Speed Automatic,AWD,55SWF4KB5JU251435,115
2008 Mercedes-Benz  S 550 4MATIC,2008,Mercedes-Benz,Blue,11995.0,Twins Auto Sales,(815) 580-4037,4.4,15.0,135361.0,61,Blue,Tan,7-Speed Automatic,AWD,WDDNG86X48A166103,116
2018 Mercedes-Benz SL 450 Base,2018,Mercedes-Benz,Black,97595.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Black,Black,9-Speed Automatic,RWD,WDDJK6GA3JF051058,117
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Blue,65680.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Lunar Blue Metallic,Beige,9-Speed Automatic,AWD,WDDZF4KBXJA383474,118
