name,year,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2018 Audi A5 2.0T Premium Plus quattro,2018,Audi,White,53350,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Glacier White Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD,WAUENCF57JA075847
2016 Audi Q5 3.0 TDI Premium Plus quattro,2016,Audi,Black,49968,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Brilliant Black,Pistachio Beige,8-Speed Automatic,AWD,WA1CVAFP1GA002816
2018 Audi Q5 2.0T Premium,2018,Audi,Silver,54185,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WA1BNAFYXJ2088178
2018 Audi A7 3.0T Prestige quattro,2018,Audi,Black,76200,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Mythos Black Metallic,Black,8-Speed Automatic,AWD,WAU23AFC5JN064088
2018 Audi Q5 2.0T Premium,2018,Audi,Silver,54375,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WA1BNAFY1J2146307
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Black,42825,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Brilliant Black,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS7JR016208
2018 Audi S4 3.0T Premium Plus,2018,Audi,Gray,58685,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Daytona Gray Pearl Effect,Black,8-Speed Automatic,AWD,WAUB4AF47JA021868
2014 Audi A6 3.0 TDI Prestige quattro,2014,Audi,Black,23999,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,80493,55,Black,,8-Speed Automatic,AWD,WAUHMAFC9EN082042
2018 Audi A4 2.0T Premium Plus,2018,Audi,Blue,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Moonlight Blue Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD,WAUENAF41JA074866
2014 Audi Q5 3.0 TDI Premium Plus quattro,2014,Audi,Brown,32750,Napleton Autowerks Loves Park,(888) 231-8946,4.9,522,21301,55,Brown,,8-Speed Automatic,AWD,WA1CMAFP6EA002729
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Blue,43400,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Utopia Blue Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFSXJR016445
2018 Audi A6 3.0T Premium quattro,2018,Audi,Gray,62160,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Tornado Gray Metallic,Black,8-Speed Automatic,AWD,WAUG3AFC7JN065328
2014 Audi Q5 3.0T Prestige quattro,2014,Audi,Black,24918,Boucher Nissan Waukesha,(866) 690-6248,4.8,67,86975,59,Black,Black,8-Speed Automatic,AWD,WA1WGAFP8EA024574
2015 Audi TT 2.0T quattro,2015,Audi,White,31989,Wheels by RT,(815) 580-3162,5,38,18515,60,Ibis White,Black,6-Speed Automatic with Auto-Shift,AWD,TRUSFAFK8F1000696
2013 Audi S4 3.0T Premium Plus,2013,Audi,Black,23329,Toyota of Brookfield,(262) 558-4486,4.8,62,65950,61,Phantom Black Pearl,Black,7-Speed Automatic with Auto-Shift,AWD,WAUBGAFL0DA200692
2016 Audi A6 2.0T Premium quattro,2016,Audi,White,31000,Lexus of Brookfield,(262) 510-0474,4.9,184,39015,62,White,Black,8-Speed Automatic,AWD,WAUFFAFC1GN115538
2014 Audi A6 3.0 TDI Premium Plus quattro,2014,Audi,Black,29991,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,18842,62,Phantom Black Pearl,Black,8-Speed Automatic,AWD,WAUFMAFC1EN064271
2014 Audi A6 3.0 TDI Prestige quattro,2014,Audi,Blue,26991,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,61829,62,Moonlight Blue Metallic,Velvet Beige,8-Speed Automatic,AWD,WAUHMAFC7EN032692
2014 Audi Q7 3.0 TDI Premium Plus,2014,Audi,Gray,36991,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,19607,62,Daytona Gray Pearl,Black,8-Speed Automatic,AWD,WA1LMAFE4ED017811
2015 Audi A4 2.0T Premium Plus quattro,2015,Audi,White,22759,Russ Darrow West Bend Chrysler Jeep Dodge RAM,(262) 299-4737,4.8,438,41716,63,White,Gray / Black,8-Speed Automatic,AWD,WAUFFAFL4FN004979
2017 Audi A4 2.0T Premium quattro,2017,Audi,White,29997,Russ Darrow Toyota Scion,(262) 384-4738,4.8,617,18568,64,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD,WAUANAF45HN052791
2017 Audi A3 Premium,2017,Audi,Other,24288,Van Horn Hyundai of Fond du Lac,(920) 933-8267,4.8,730,2869,66,Chrome,aluminum,7-SPEED A/T,Front Wheel Drive,WAUAUGFF8H1038074
2017 Audi A3 2.0T Premium Plus,2017,Audi,Other,26699,Van Horn Hyundai of Fond du Lac,(920) 933-8267,4.8,730,3031,66,Chrome,aluminum,7-SPEED A/T,Front Wheel Drive,WAUGUGFFXH1041682
2016 Audi S4 3.0T Premium Plus,2016,Audi,Black,41998,Holiday Mazda,(855) 294-9011,4.9,96,22315,67,Brilliant Black,Black,7-Speed Automatic with Auto-Shift,AWD,WAUBGAFL6GA005992
2012 Audi Q5 2.0T Premium Plus quattro,2012,Audi,Blue,16998,Holiday Mazda,(855) 294-9011,4.9,96,86428,67,Moonlight Blue Metallic,Light Gray,8-Speed Automatic,AWD,WA1LFAFP3CA116534
2014 Audi A6 3.0 TDI Prestige quattro,2014,Audi,Black,36998,Holiday Mazda,(855) 294-9011,4.9,96,32904,67,Brilliant Black,Black,8-Speed Automatic,AWD,WAUHMAFC3EN019003
2017 Audi Q5 2.0T Premium quattro,2017,Audi,Black,38498,Holiday Mazda,(855) 294-9011,4.9,96,14776,67,Brilliant Black,Black,8-Speed Automatic,AWD,WA1M2AFP5HA078716
2013 Audi TT 2.0T Premium Plus,2013,Audi,Black,27996,Marengo Auto Group,(815) 572-4336,5,20,19266,68,Black,Black,6-SPEED A/T,All Wheel Drive,TRUSFAFK3D1000702
2017 Audi Q5 2.0T Premium quattro,2017,Audi,Black,32996,Russ Darrow Mazda,(414) 269-8762,4.7,433,20855,68,Brilliant Black,Black,8-Speed Automatic,AWD,WA1C2AFP7HA095772
2012 Audi Q5 2.0T Premium Plus quattro,2012,Audi,Black,16911,Ewald Chrysler Jeep Dodge RAM,(414) 377-4903,4.8,337,82725,68,Black,,8-Speed Automatic,AWD,WA1LFAFP9CA138831
2018 Audi A6 2.0T Premium Plus,2018,Audi,Blue,55560,International Autos,(414) 203-5342,3.8,56,,68,Moonlight Blue Metallic,Nougat Brown,8-Speed Automatic,AWD,WAUG8AFC9JN016262
2015 Audi A7 3.0T Premium Plus quattro,2015,Audi,Black,37435,International Autos,(414) 269-8729,3.8,56,49532,68,Mythos Black Metallic,Black,8-Speed Automatic,AWD,WAUWGAFC5FN007063
2017 Audi Q5 2.0T Premium quattro,2017,Audi,White,36000,International Autos,(414) 939-8502,3.8,56,4875,68,Ibis White,Black,8-Speed Automatic,AWD,WA1C2AFP8HA054700
2018 Audi A3 2.0T Premium quattro,2018,Audi,White,39960,International Autos,(414) 203-5342,3.8,56,,68,Ibis White,Black,6-Speed Automatic with Auto-Shift,AWD,WAUJ8GFF8J1002699
2012 Audi A5 2.0T quattro,2012,Audi,Black,19998,CarMax Metro Parc,(414) 214-9772,4,2,53471,68,Black,Black,8-Speed Automatic w/Manual Shift,AWD,WAULFAFR3CA022223
2013 Audi S4 3.0T Prestige,2013,Audi,Other,23990,Hometown Auto Sales,(262) 421-4659,5,1,76992,72,,,7-SPEED A/T,AWD,WAUBGAFL0DA153034
2017 Audi A4 2.0T Premium quattro,2017,Audi,White,33967,Audi North Shore,(414) 375-2104,3.5,14,4323,72,Ibis White,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD,WAUANAF47HN008498
2017 Audi A4 2.0T Premium quattro,2017,Audi,White,34967,Audi North Shore,(414) 375-2104,3.5,14,4959,72,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD,WAUANAF48HN009658
2014 Audi A6 2.0T Premium Plus,2014,Audi,Black,23613,Andrew Toyota,(866) 786-0878,4.9,1461,33030,73,Phantom Black Pearl Effect,Black,8-SPEED A/T,All Wheel Drive,WAUGFAFC2EN060163
2011 Audi S4 3.0 Premium Plus,2011,Audi,Gray,18699,Heiser Ford Lincoln,(414) 375-4242,5,664,89999,74,Quartz Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WAUKGAFL3BA009300
2015 Audi Q5 2.0T Premium Plus quattro,2015,Audi,Silver,31500,Lexus of Milwaukee,(414) 973-2600,5,9,15758,74,Florett Silver Metallic,Black,8-Speed Automatic,AWD,WA1LFAFP1FA078435
2013 Audi Q7 3.0 TDI Premium,2013,Audi,Black,31633,Porsche Milwaukee North,(888) 481-5925,,,24232,74,Black,Black,8-Speed Automatic,AWD,WA1LMAFE1DD000897
2012 Audi S4 3.0 Premium Plus,2012,Audi,Black,23953,Porsche Milwaukee North,(888) 481-5925,,,55721,74,Brilliant Black,Black / Red,7-Speed Automatic with Auto-Shift,AWD,WAUBGAFL7CA017613
2014 Audi RS 5 4.2,2014,Audi,Gray,42740,Porsche Milwaukee North,(888) 481-5925,,,44824,74,Daytona Gray Pearl,Black,7-Speed Automatic with Auto-Shift,AWD,WUAC6AFR4EA901108
2014 Audi Q5 Premium Plus,2014,Audi,Black,27995,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,39580,76,Brilliant Black,Black,8-SPEED A/T,All Wheel Drive,WA1CMAFP4EA065828
2014 Audi Q7 3.0L TDI Premium Plus,2014,Audi,Silver,30998,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,29869,76,Ice Silver Metallic,Black,8-SPEED A/T,All Wheel Drive,WA1LMAFE6ED011671
2015 Audi A6 3.0L TDI Premium Plus,2015,Audi,Gray,35998,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,14530,76,Oolong Gray Metallic,Black,8-SPEED A/T,All Wheel Drive,WAUFMBFC2FN031335
2015 Audi A3 2.0T Premium,2015,Audi,Silver,19999,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,22174,76,Ice Silver Metallic,Black,6-SPEED A/T,All Wheel Drive,WAUBFGFF8F1011825
2014 Audi A8 L 3.0 TDI,2014,Audi,Black,33998,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,59788,76,Phantom Black Pearl Effect,Black,8-SPEED A/T,All Wheel Drive,WAURMAFD8EN001027
2013 Audi Q7 3.0L TDI Premium Plus,2013,Audi,Black,26995,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,52917,76,Orca Black Metallic,Cardamom,8-SPEED A/T,All Wheel Drive,WA1LMAFE8DD006454
2010 Audi S5 Prestige,2010,Audi,Black,19995,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,48138,76,Brilliant Black,Black,7-SPEED A/T,All Wheel Drive,WAUVGAFH8AN010779
2015 Audi Q5 Premium Plus,2015,Audi,Blue,28995,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,39269,76,Moonlight Blue Metallic,Black,8-SPEED A/T,All Wheel Drive,WA1CMAFP3FA077731
2015 Audi Q7 3.0L TDI Premium Plus,2015,Audi,Gray,33995,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,31556,76,Graphite Gray Metallic,Black,8-SPEED A/T,All Wheel Drive,WA1LMAFE3FD021737
2011 Audi A6 3.0T Prestige,2011,Audi,Blue,14588,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162,77614,76,Night Blue Pearl,Cardamom Beige,6-SPEED A/T,All Wheel Drive,WAUKGAFB9BN063894
2008 Audi A4 2.0T quattro,2008,Audi,Blue,6999,Gateway Motors,(414) 208-4991,4.9,52,101862,77,Blue,,6-Speed Automatic,AWD,WAUDF78E88A094639
2015 Audi A8 L 4.0T,2015,Audi,White,49480,VROOM (Milwaukee),(877) 682-3020,,,16038,73,White,Gray,8-Speed Automatic w/OD,AWD,WAU32AFD7FN011805
2017 Audi Q3 2.0T Premium Plus,2017,Audi,Gray,33980,VROOM (Milwaukee),(877) 682-3020,,,2611,73,Gray,Black,6-Speed Automatic w/OD,AWD,WA1JCCFS4HR006827
2016 Audi S6 Prestige,2016,Audi,Black,56480,VROOM (Milwaukee),(877) 682-3020,,,17349,73,Black,Black,7-Speed Auto-Shift Manual w/OD,AWD,WAUH2AFC0GN040156
2015 Audi Q7 3.0T S line Prestige,2015,Audi,Gray,36980,VROOM (Milwaukee),(877) 682-3020,,,47305,73,Gray,Black,8-Speed Automatic w/OD,AWD,WA1DGBFE6FD002259
2016 Audi A7 3.0T Premium Plus,2016,Audi,Black,42480,VROOM (Milwaukee),(877) 682-3020,,,37603,73,Black,Black,8-Speed Automatic w/OD,AWD,WAUWGAFC6GN080847
2015 Audi Q5 2.0T Premium,2015,Audi,Silver,26230,VROOM (Milwaukee),(877) 682-3020,,,50465,73,Silver,Black,8-Speed Automatic w/OD,AWD,WA1LFAFP7FA056486
2017 Audi A6 2.0T Premium,2017,Audi,Gray,40730,VROOM (Milwaukee),(877) 682-3020,,,5688,73,Gray,Tan,7-Speed Auto-Shift Manual w/OD,FWD,WAUD8AFC5HN059056
2014 Audi allroad Premium Plus,2014,Audi,Blue,24730,VROOM (Milwaukee),(877) 682-3020,,,57373,73,Blue,Tan,8-Speed Automatic w/OD,AWD,WA1UFAFL4EA040133
2014 Audi Q7 3.0T Premium,2014,Audi,Black,28230,VROOM (Milwaukee),(877) 682-3020,,,51734,73,Black,Black,8-Speed Automatic w/OD,AWD,WA1LGAFE1ED002562
2014 Audi A4 2.0T Premium quattro,2014,Audi,Gray,21230,VROOM (Milwaukee),(877) 682-3020,,,27708,73,Gray,Black,8-Speed Automatic w/OD,AWD,WAUBFAFL9EN039725
2015 Audi A6 2.0T Premium,2015,Audi,White,27480,VROOM (Milwaukee),(877) 682-3020,,,23548,73,White,Black,8-Speed Automatic w/OD,AWD,WAUGFAFC3FN034138
2014 Audi Q7 3.0 TDI Premium,2014,Audi,White,28980,VROOM (Milwaukee),(877) 682-3020,,,74337,73,White,Tan,8-Speed Automatic w/OD,AWD,WA1LMAFE7ED002316
2015 Audi Q7 3.0 TDI Premium,2015,Audi,Gray,36230,VROOM (Milwaukee),(877) 682-3020,,,43814,73,Gray,Gray,8-Speed Automatic w/OD,AWD,WA1LMAFE6FD009436
2014 Audi S7 Prestige,2014,Audi,Silver,45730,VROOM (Milwaukee),(877) 682-3020,,,24864,73,Silver,Black,7-Speed Auto-Shift Manual w/OD,AWD,WAUW2AFCXEN085030
2016 Audi A6 3.0T Premium Plus,2016,Audi,Black,31980,VROOM (Milwaukee),(877) 682-3020,,,55010,73,Black,Black,8-Speed Automatic w/OD,AWD,WAUFGAFC1GN005294
2015 Audi Q5 2.0T Premium,2015,Audi,Gray,29730,VROOM (Milwaukee),(877) 682-3020,,,35935,73,Gray,Black,8-Speed Automatic w/OD,AWD,WA1LFAFPXFA109911
2016 Audi Q5 2.0T Premium,2016,Audi,Gray,34230,VROOM (Milwaukee),(877) 682-3020,,,16969,73,Gray,Black,8-Speed Automatic w/OD,AWD,WA1L2AFP5GA138553
2018 Audi Q3 2.0T Premium,2018,Audi,White,31730,VROOM (Milwaukee),(877) 682-3020,,,4882,73,White,Brown,6-Speed Automatic w/OD,FWD,WA1BCCFS6JR014504
2017 Audi Q5 Premium,2017,Audi,Silver,33980,VROOM (Milwaukee),(877) 682-3020,,,21019,73,Silver,Black,8-Speed Automatic w/OD,AWD,WA1C2AFP2HA078054
2017 Audi A6 Prestige,2017,Audi,White,47980,VROOM (Milwaukee),(877) 682-3020,,,9564,73,White,Black,8-Speed Automatic w/OD,AWD,WAUH2AFC6HN089153
2015 Audi Q7 3.0T Premium,2015,Audi,Black,30980,VROOM (Milwaukee),(877) 682-3020,,,59516,73,Black,Black,8-Speed Automatic w/OD,AWD,WA1LGAFE3FD016299
2014 Audi allroad Premium,2014,Audi,Black,24230,VROOM (Milwaukee),(877) 682-3020,,,38575,73,Black,Brown,8-Speed Automatic w/OD,AWD,WA1TFAFL8EA148718
2017 Audi A6 Prestige,2017,Audi,Red,47480,VROOM (Milwaukee),(877) 682-3020,,,13539,73,Red,Black,Automatic,AWD,WAUH2AFC5HN044155
2015 Audi A3 2.0T Premium quattro,2015,Audi,Silver,23980,VROOM (Milwaukee),(877) 682-3020,,,32382,73,Silver,Black,6-Speed Auto-Shift Manual w/OD,AWD,WAU7FLFF2F1037853
2015 Audi A6 3.0T Prestige,2015,Audi,Gray,28730,VROOM (Milwaukee),(877) 682-3020,,,43456,73,Gray,Tan,Automatic,AWD,WAUHGAFC2FN024993
2015 Audi A4 2.0T Premium,2015,Audi,Silver,23730,VROOM (Milwaukee),(877) 682-3020,,,19785,73,Silver,Tan,8-Speed CVT w/OD,FWD,WAUAFAFL6FN032874
2015 Audi Q5 2.0T Premium,2015,Audi,Black,29730,VROOM (Milwaukee),(877) 682-3020,,,39960,73,Black,Brown,8-Speed Automatic w/OD,AWD,WA1LFAFP9FA024655
2014 Audi S7 Prestige,2014,Audi,Black,36900,MSI Auto Sales,(608) 478-2670,3.9,12,84938,6,Black,Black,7-SPEED A/T,All Wheel Drive,WAUW2AFC9EN038958
2016 Audi A5 2.0T Premium Plus quattro,2016,Audi,Red,37800,Schoepp Motors West,(608) 729-3822,4.8,1543,9508,6,Red,,8-Speed Automatic,AWD,WAUM2AFH5GN002237
2015 Audi A3 1.8T Premium,2015,Audi,White,21995,Schoepp Motors West,(608) 729-3822,4.8,1543,13862,6,White,,6-Speed Automatic with Auto-Shift,FWD,WAUACHFF5F1110063
2012 Audi A4 2.0T Premium,2012,Audi,Silver,15997,Metro Kia of Madison,(608) 318-4022,4.6,24,80630,7,Silver,,8-SPEED A/T,All Wheel Drive,WAUBFAFL5CN005214
2013 Audi S5 3.0T Premium Plus quattro,2013,Audi,Silver,34500,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,4.7,720,48768,49,Silver,Black,7-Speed Automatic with Auto-Shift,AWD,WAUVGAFH3DN009222
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Gray,43625,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS9JR021958
2015 Audi Q7 3.0T S Line Prestige,2015,Audi,Gray,35750,Napleton Autowerks Loves Park,(888) 231-8946,4.9,522,45164,55,Gray,,8-Speed Automatic,AWD,WA1DGAFE9FD003237
2016 Audi A6 3.0 TDI Premium Plus quattro,2016,Audi,White,58879,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Ibis White,Black,8-Speed Automatic,AWD,WAUFMAFC7GN000707
2018 Audi A3 2.0T Premium quattro,2018,Audi,Black,43335,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Brilliant Black / Black Roof,Black,6-Speed Automatic with Auto-Shift,AWD,WAU78LFF8J1041053
2018 Audi A6 3.0T Premium quattro,2018,Audi,White,62550,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Glacier White Metallic,Black,8-Speed Automatic,AWD,WAUG3AFCXJN044604
2018 Audi Q5 2.0T Premium,2018,Audi,Silver,52725,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WA1BNAFY5J2099752
2018 Audi A4 2.0T Premium Plus,2018,Audi,Silver,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WAUENAF48JA074377
2018 Audi A4 2.0T Prestige,2018,Audi,Blue,54550,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Scuba Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD,WAUFNBF43JA127013
2018 Audi Q7 3.0T Premium,2018,Audi,White,71345,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Glacier White Metallic,Black,8-Speed Automatic,AWD,WA1VAAF76JD027642
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Gray,41500,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR019349
2018 Audi Q5 2.0T Premium,2018,Audi,Gray,54375,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Monsoon Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WA1BNAFY7J2116437
2018 Audi A6 3.0T Premium quattro,2018,Audi,Black,64410,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Mythos Black Metallic,Black,8-Speed Automatic,AWD,WAUG3AFC1JN044040
2018 Audi A4 2.0T Premium Plus,2018,Audi,Blue,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Moonlight Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD,WAUENAF43JA074898
2018 Audi A4 2.0T Premium Plus,2018,Audi,Red,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Matador Red Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WAUENAF4XJA074722
2018 Audi A6 2.0T Premium quattro,2018,Audi,Gray,39995,Ubersox Auto Group,(888) 606-5696,3.9,40,16175,57,Tornado Gray Metallic,Black,8-Speed Automatic,AWD,WAUF8AFC8JN017012
2014 Audi A6 3.0 TDI Premium Plus quattro,2014,Audi,Black,29817,Fields Jaguar Land Rover Volvo Waukesha,(262) 229-4393,4.6,57,51336,60,Black,Black,8-Speed Automatic,AWD,WAUHMAFC0EN006709
2015 Audi Q5 2.0T Premium quattro,2015,Audi,Black,25348,Fields Jaguar Land Rover Volvo Waukesha,(262) 229-4393,4.6,57,69199,60,Black,Black,8-Speed Automatic,AWD,WA1LFAFP8FA098875
2015 Audi A3 1.8T Premium,2015,Audi,Black,17977,Russ Darrow Waukesha Mitsubishi,(262) 510-2858,4.8,323,35595,60,Phantom Black Pearl,Black,6-Speed Automatic with Auto-Shift,FWD,WAUACGFF1F1008589
2014 Audi Q7 3.0L TDI Prestige,2014,Audi,Black,38900,Midwest Highline,(815) 516-8789,,,44000,61,Charcoal,Black,8-SPEED A/T,All Wheel Drive,WA1WMAFE4ED008880
2013 Audi S6 Prestige,2013,Audi,Blue,38900,Midwest Highline,(815) 516-8789,,,32550,61,Moonlight Blue Metallic,Black,7-SPEED A/T,All Wheel Drive,WAUF2AFC3DN150492
2017 Audi Q5 Premium Plus,2017,Audi,Silver,38998,CarMax Waukesha,(262) 207-2339,,,6836,61,Silver,Brown,8-Speed Automatic w/OD,AWD,WA1L2AFP2HA059729
2012 Audi A4 2.0T Prestige,2012,Audi,Black,16500,Midwest Highline,(815) 516-8789,,,77146,61,Black,Black,8-SPEED A/T,All Wheel Drive,WAUKFAFL4CN008654
2015 Audi A4 2.0T Premium Plus quattro,2015,Audi,Blue,22500,Lexus of Brookfield,(262) 510-0474,4.9,184,40163,62,Dark Blue,Black,8-Speed Automatic,AWD,WAUFFAFL5FN035920
2014 Audi A4 2.0T Premium quattro,2014,Audi,Black,21990,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,22220,62,Black,Black,8-Speed Automatic,AWD,WAUBFAFL7EN045877
