name,VIN,year,price,miles,Exterior Color,Interior Color,seller_name,seller_phone,Transmission,Drivetrain
2015 Ford F-150 Truck SuperCrew Cab,1FTEW1EG1FKD58883,2015,33342,34438,Tuxedo Black Metallic,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Truck SuperCrew Cab,1FTEW1EG4GFA28911,2016,42825,45886,Shadow Black,BRUNELLO,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Truck SuperCrew Cab,1FTEW1EF4GKD62208,2016,33899,19232,Blue Flame Metallic,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Truck SuperCrew Cab,1FTEW1EP2GFA77007,2016,32598,26554,Shadow Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Truck SuperCrew Cab,1FTEW1EF9GFB99838,2016,29479,43638,Blue,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Truck SuperCrew Cab,1FTFW1EG6GKD37243,2016,39167,31749,Oxford White,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Truck SuperCrew Cab,1FTEW1EP0GFB68678,2016,32598,27752,Shadow Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Truck SuperCrew Cab,1FTEW1EG3GFA62144,2016,32747,28284,Ingot Silver Metallic,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 Truck SuperCrew Cab,1FTEW1EF6HFC36992,2017,29750,23128,Oxford White,MEDIUM LIGHT CAMEL,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 Truck SuperCab Styleside,1FTEX1EP6HFB74743,2017,32535,3968,Gray,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 Truck SuperCrew Cab,1FTEW1E86HFC05663,2017,28304,19036,Shadow Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2010 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1EV3AFA57830,2010,16700,97480,Tuxedo Black,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2012 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1EF6CFB29373,2012,22899,50638,Dark Blue Pearl,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2010 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1EV9AFD79839,2010,21898,43632,Blue Flame,MEDIUM STONE/STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2013 Ford F-150 XLT SuperCrew,1FTFW1EF1DKE12997,2013,22995,63000,Blue,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2014 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1ET5EKF24970,2014,27698,30522,Green Gem Metallic,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2013 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1ET7DFC10616,2013,23575,72643,Ingot Silver Metallic,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2014 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1ET5EKG49399,2014,27247,48843,Vermillion Red,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2014 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1ET6EKG49198,2014,26347,47623,Vermillion Red,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2014 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1ET4EKF75232,2014,28119,29304,Oxford White,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2014 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1EF4EKD29405,2014,27255,33485,Ingot Silver Metallic,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EG4FFC14947,2015,31149,25459,Blue Jeans Metallic,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 XLT Truck SuperCrew Cab,1FTFW1EF7FKD45731,2015,30398,22979,Oxford White,DARK EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1E85FKD49290,2015,26793,55880,Oxford White,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EP7FFB09027,2015,31998,30598,Race Red,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 XLT Super Cab,1FTEX1EP0GFA28871,2016,29995,7724,Blue Flame Metallic,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford Transit-150 w/60/40 Pass-Side Cargo-Doors Van Low Roof Cargo Van,1FTYE1ZM9HKA75358,2017,19988,31043,Oxford White,PEWTER,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Rear Wheel Drive
2015 Ford Taurus SEL Sedan,1FAHP2H88FG131834,2015,15452,64668,White,DUNE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Transit Connect XLT Van,NM0LS7F77H1323128,2017,20989,2251,Frozen White,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,,Front Wheel Drive
2014 Ford Taurus SE Sedan,1FAHP2D8XEG107135,2014,8925,158256,Oxford White,DUNE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2017 Ford Taurus Limited Sedan,1FAHP2F82HG108541,2017,21476,18197,Ingot Silver,CHARCOAL BLACK/MAYAN GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,,Front Wheel Drive
2016 Ford Mustang GT Premium Coupe,1FA6P8CF3G5262294,2016,30497,17946,Shadow Black,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Manual,Rear Wheel Drive
2016 Ford Mustang GT Premium Convertible,1FATP8FF1G5277892,2016,33987,15248,Gray,DARK SADDLE,Kayser Automotive Group,888-276-6308 888-276-9145,Manual,Rear Wheel Drive
2017 Ford Mustang GT Premium Convertible,1FATP8FF6H5273659,2017,36298,4697,Shadow Black,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,,Rear Wheel Drive
2001 Ford Mustang GT Coupe,1FAFP42X61F242447,2001,10549,48595,Black,DARK CHARCOAL,Kayser Automotive Group,888-276-6308 888-276-9145,Manual,Rear Wheel Drive
2017 Ford Fusion Hybrid Sedan,3FA6P0RU2HR323107,2017,18185,30235,White,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2013 Ford Fusion SE Sedan,3FA6P0H76DR369528,2013,8899,162725,Tuxedo Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2010 Ford Fusion SE Sedan,3FAHP0HA7AR272127,2010,5949,158148,White Suede,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Manual,Front Wheel Drive
2015 Ford Fusion SE Sedan,3FA6P0HD9FR124795,2015,14647,18822,Ruby Red Tinted Clearcoat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2015 Ford Fusion SE Sedan,1FA6P0HD5F5131133,2015,12456,65215,Ingot Silver,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2015 Ford Fusion SE Sedan,3FA6P0H90FR148043,2015,14447,35853,Guard,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2015 Ford Fusion SE Sedan,3FA6P0T99FR206156,2015,16825,31489,Ruby Red Tinted Clearcoat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford F-250SD Crew Cab,1FT7W2B62HEC25688,2017,34995,21608,Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2012 Ford F-350 Lariat Truck Crew Cab,1FT8W3BT1CEC65351,2012,29998,189290,Vermillion Red,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-250SD Lariat Crew Cab,1FT7W2BT0GEA10475,2016,52995,6918,Oxford White,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2012 Ford F-250 Truck Regular Cab,1FTBF2B68CEA70082,2012,22898,48816,Oxford White,STEEL,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2012 Ford F-250 Truck Crew Cab,1FT7W2B62CEA21241,2012,33998,52823,Ingot Silver Metallic,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-250 XLT Truck Crew Cab,1FT7W2BT2FEB17056,2015,37140,79089,Caribou,ADOBE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
