name,VIN,make,model,year,price,miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain
2010 Lexus RX 350,2T2BK1BA8AC016657,Lexus,RX 350,2010,15950,88188,TUNGSTEN PEARL,LIGHT GRAY,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2010 Lexus RX 350,2T2BK1BA5AC024148,Lexus,RX 350,2010,13500,149147,OBSIDIAN,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2011 Lexus RX 350,2T2BK1BA6BC085512,Lexus,RX 350,2011,15500,88545,SATIN CASHMERE METALLIC,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2012 Lexus RX 350,2T2BK1BA4CC148964,Lexus,RX 350,2012,20500,74120,,,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2013 Lexus RX 350,2T2BK1BAXDC174227,Lexus,RX 350,2013,21950,82589,SATIN CASHMERE METALLIC,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2BK1BA0FC283203,Lexus,RX 350,2015,29950,24167,STARGAZER BLACK,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2016 Lexus RX 350,JTJBZMCA5G2004194,Lexus,RX 350,2016,44950,9662,AUTUMN SHIMMER,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus NX 200t,JTJBARBZXF2002726,Lexus,NX 200t,2015,28500,43837,EMINENT WHITE PEARL,CREME,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2016 Lexus NX 200t,JTJBARBZ3G2061215,Lexus,NX 200t,2016,32500,30417,ATOMIC SILVER,RIOJA RED,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus NX 200t,JTJYARBZ7F2017887,Lexus,NX 200t,2015,26950,15887,ATOMIC SILVER,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,Front Wheel Drive
2013 Lexus RX 350,2T2BK1BA5DC187029,Lexus,RX 350,2013,24500,68191,SATIN CASHMERE METALLIC,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2BK1BA1FC295246,Lexus,RX 350,2015,31950,33632,ULTRA WHITE,BLACK / CABERNET,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2013 Lexus RX 350,2T2BK1BA4DC188639,Lexus,RX 350,2013,23950,64361,STARGAZER BLACK,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2BK1BA5FC260192,Lexus,RX 350,2015,30750,32165,CLARET MICA,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2BK1BA3FC299881,Lexus,RX 350,2015,28950,36215,CLARET MICA,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2ZK1BA2FC167080,Lexus,RX 350,2015,25500,61298,SILVER LINING METALLIC,SADDLE TAN,Lexus of Madison,877-510-3625 877-545-4105,Automatic,Front Wheel Drive
2015 Lexus RX 350,JTJBK1BA8F2465716,Lexus,RX 350,2015,28950,50584,FIRE AGATE PEARL,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2017 Lexus RX,2T2BZMCA9HC081930,Lexus,RX 350,2017,43500,14513,CAVIAR,STRATUS GRAY,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2017 Lexus RX,2T2BZMCA9HC101366,Lexus,RX 350,2017,46950,16531,EMINENT WHITE PEARL,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus RC 350,JTHSE5BC2F5004575,Lexus,RC 350,2015,34950,12426,NEBULA GRAY PEARL,STRATUS GRAY,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus RC 350,JTHSE5BC3F5003547,Lexus,RC 350,2015,31950,27031,SILVER LINING METALLIC,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2016 Lexus NX 200t,JTJBARBZ7G2066949,Lexus,NX 200t,2016,34500,36070,ULTRA WHITE,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2015 Lexus NX 200t,JTJYARBZ1F2002270,Lexus,NX 200t,2015,30990,16730,SILVER LINING METALLIC,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,Front Wheel Drive
2017 Lexus NX,JTJBARBZ0H2100912,Lexus,NX 200t,2017,35500,8684,NEBULA GRAY PEARL,FLAXEN,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2017 Lexus NX,JTJBARBZ2H2105545,Lexus,NX 200t,2017,33500,14513,ATOMIC SILVER,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2017 Lexus NX,JTJBARBZ3H2099108,Lexus,NX 200t,2017,32950,8838,ATOMIC SILVER,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2017 Lexus NX,JTJBARBZ0H2101140,Lexus,NX 200t,2017,32950,8744,ATOMIC SILVER,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2017 Lexus NX,JTJYARBZ9H2052174,Lexus,NX 200t,2017,30950,12393,ATOMIC SILVER,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,Front Wheel Drive
2018 Lexus NX,JTJBARBZ6J2150199,Lexus,NX 300,2018,38500,902,CAVIAR,BLACK,Lexus of Madison,877-510-3625 877-545-4105,,4-Wheel Drive
2014 Lexus GX 460,JTJJM7FX5E5084538,Lexus,GX 460,2014,39250,36313,CLARET MICA,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,4-Wheel Drive
2014 Lexus LS 460,JTHCL5EF8E5021122,Lexus,LS 460,2014,36950,51802,OBSIDIAN,BLACK w/SHIMAMOKU,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2016 Lexus NX 200t,JTJBARBZXG2066959,Lexus,NX 200t,2016,32500,26304,NEBULA GRAY PEARL,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2005 Lexus LS 430,JTHBN36F550178757,Lexus,LS 430,2005,10950,110164,Flint Mica,LB21,Lexus of Madison,877-510-3625 877-545-4105,Automatic,Rear Wheel Drive
2010 Lexus IS 250,JTHCF5C20A5042497,Lexus,IS 250,2010,12500,106371,SMOKY GRANITE MICA,LIGHT GRAY,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2013 Lexus GX 460,JTJBM7FX0D5054401,Lexus,GX 460,2013,27950,73907,KNIGHT'S ARMOR PEARL,BLACK,Lexus of Madison,877-510-3625 877-545-4105,Automatic,4-Wheel Drive
2011 Lexus GS 350,JTHCE1KS2B0030928,Lexus,GS 350,2011,16950,58677,SATIN CASHMERE METALLIC,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2012 Lexus ES 350,JTHBK1EG7C2496971,Lexus,ES 350,2012,12950,120384,MATADOR RED MICA,PARCHMENT,Lexus of Madison,877-510-3625 877-545-4105,Automatic,Front Wheel Drive
2007 Lexus RX 350,2T2HK31U57C008042,Lexus,RX 350,2007,9500,157938,BAMBOO PEARL,IVORY,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2008 Lexus RX 350,2T2HK31UX8C080839,Lexus,RX 350,2008,11950,98744,MILLENNIUM SILVER METALLIC,F-SPORT BLACK(BIRDSEYE),Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2009 Lexus RX 350,2T2HK31U09C111548,Lexus,RX 350,2009,15500,82120,CLASSIC SILVER MTETALLIC,F-SPORT BLACK(BIRDSEYE),Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive
2002 Lexus SC 430 Convertible,JTHFN48Y220027067,Lexus,SC 430,2002,8900,137229,Black,Leather,MSI Auto Sales,608-833-3012,Automatic,Rear Wheel Drive
2002 Lexus LX 470 Sport Utility,JTJHT00W923513325,Lexus,LX 470,2002,11900,126240,Tan,Leather,MSI Auto Sales,608-833-3012,Automatic,4-Wheel Drive
2008 LEXUS SC 430 Convertible,JTHFN45Y589017139,Lexus,SC 430,2008,22990,73231,Smoky Granite Mica,,DON MILLER SUBARU,855-808-3072,Automatic,Rear Wheel Drive
2011 LEXUS LS 460 Base,JTHCL5EF8B5010679,Lexus,LS 460,2011,15495,151494,Deep Sea Mica,Alabaster,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,All Wheel Drive
2008 LEXUS IS 250 Base,JTHCK262582019900,Lexus,IS 250,2008,9495,131732,Matador Red Mica,,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,All Wheel Drive
2011 LEXUS RX 350 Base,2T2BK1BA1BC096501,Lexus,RX 350,2011,15871,108322,Silver,,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,All Wheel Drive
2015 LEXUS GX 460 Base,JTJBM7FX8F5107316,Lexus,GX 460,2015,36000,52632,Black Onyx,,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,4-Wheel Drive
2014 LEXUS GS 350 Base,JTHCE1BL2E5021159,Lexus,GS 350,2014,24943,37835,Gray,,Fields Jaguar Land Rover Volvo Madison,866-700-7434,Automatic,All Wheel Drive
Used 2013 Lexus RX 350 F Sport,2T2BK1BA7DC186139,Lexus,RX 350,2013,27998,57432,Stargazer Black,Black,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 2014 Lexus IS 350,JTHBE1D2XE5001984,Lexus,IS 350,2014,24577,46389,Ultra White,Alabaster,Russ Darrow Kia,888-356-1417,Automatic,Rear Wheel Drive
Used 2007 Lexus GS 350,JTHCE96S170011657,Lexus,GS 350,2007,10964,102790,Verdigris Mica,Cashmere,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 2016 Lexus IS 300,JTHCM1D2XG5004412,Lexus,IS 300,2016,29762,22563,Eminent White Pearl,Parchment,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 2013 Lexus LX 570,JTJHY7AX9D4122979,Lexus,LX 570,2013,36956,92310,Gray,Black,Russ Darrow Kia,888-356-1417,Automatic,4-Wheel Drive
Used 2001 Lexus GS 430,JT8BL69S910002983,Lexus,GS 430,2001,5744,155735,Black Onyx,Black,Russ Darrow Kia,888-356-1417,Automatic,Rear Wheel Drive
Used 2014 Lexus GS 350,JTHCE1BL4E5026895,Lexus,GS 350,2014,26477,61623,Obsidian,Cabernet,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 2008 Lexus ES 350,JTHBJ46G082171461,Lexus,ES 350,2008,7288,140606,Starfire Pearl,Cashmere,Russ Darrow Kia,888-356-1417,Automatic,Front Wheel Drive
Used 2016 Lexus RX 350 w/ Premium Package,2T2BZMCA5GC009766,Lexus,RX 350,2016,42277,10370,Nightfall Mica,Noble Brown,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 2015 Lexus IS 250,JTHCF1D21F5022256,Lexus,IS 250,2015,25784,34884,Starfire Pearl,Flaxen,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 2010 Lexus RX 350 Premium,2T2BK1BA0AC005975,Lexus,RX 350,2010,17787,85601,Tungsten Pearl,Light Gray,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 2013 Lexus GS 350,JTHCE1BL8D5014375,Lexus,GS 350,2013,24730,57416,Black,,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
Used 1996 Lexus ES 300,JT8BF12G3T0168371,Lexus,ES 300,1996,1499,278801,White,Gray,Russ Darrow Kia,888-356-1417,Automatic,Front Wheel Drive
Used 2007 Lexus RX 350 Premium Package,2T2HK31U87C044520,Lexus,RX 350,2007,8995,150139,Breakwater Blue Metallic,Light Gray,Russ Darrow Kia,888-356-1417,Automatic,All Wheel Drive
"Used 2007 Lexus LS 460 w/ Comfort Package, Navigation/Mark Levinson Pack",JTHBL46F375003358,Lexus,LS 460,2007,8995,199866,Smoky Granite Mica,Black,Russ Darrow Kia,888-356-1417,Automatic,Rear Wheel Drive
Used 2002 Lexus ES 300,JTHBF30G520010224,Lexus,ES 300,2002,1999,168356,Millennium Silver Metallic,Black,Russ Darrow Kia,888-356-1417,Automatic,Front Wheel Drive
2012 LEXUS RX 350 Base (A6) SUV,2T2BK1BA3CC147787,Lexus,RX 350,2012,23887,52042,Nebula Gray Pearl,,Don Miller Pre-Owned,608-442-3131,Automatic,All Wheel Drive
2009 LEXUS ES 350 Base Sedan,JTHBJ46G492315997,Lexus,ES 350,2009,10995,103542,White,,Don Miller Pre-Owned,608-442-3131,Automatic,Front Wheel Drive
2015 Lexus RX 350,JTJBK1BA7F2483754,Lexus,RX 350,2015,28998,33000,Tan,Tan,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2015 Lexus IS 350,JTHCE1D29F5007121,Lexus,IS 350,2015,30998,28000,Red,Black,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2BK1BA4FC319278,Lexus,RX 350,2015,27998,36000,White,Black,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2013 Lexus RX 350,2T2BK1BAXDC211017,Lexus,RX 350,2013,23998,67000,Black,Tan,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2015 Lexus GS 350,JTHCE1BL3FA003178,Lexus,GS 350,2015,27998,45000,Black,Black,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2015 Lexus IS 250,JTHCF1D22F5018135,Lexus,IS 250,2015,25998,21000,Gray,Gray,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2015 Lexus IS 250,JTHCF1D24F5021182,Lexus,IS 250,2015,26998,28000,White,Tan,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2015 Lexus IS 250,JTHCF1D28F5016938,Lexus,IS 250,2015,25998,20000,Gray,Gray,Carmax Madison,608-286-3969,Automatic,All Wheel Drive
2014 Lexus IS 350,JTHCE1D23E5004018,Lexus,IS 350,2014,31400,33568,Silver Lining Metallic,Light Gray,Smart Motors,866-489-6405 877-240-4548,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2BK1BA0FC286490,Lexus,RX 350,2015,29100,39908,Stargazer Black,Black,Smart Motors,866-489-6405 877-240-4548,Automatic,All Wheel Drive
2016 Lexus GX 460,JTJBM7FX4G5146793,Lexus,GX 460,2016,43000,28222,BLACK,Black,Smart Motors,866-489-6405 877-240-4548,Automatic,4-Wheel Drive
2015 Lexus RX 450h,2T2BC1BAXFC002893,Lexus,RX 450h,2015,36500,34649,Nebula Gray Pearl,Black,Smart Motors,866-489-6405 877-240-4548,Automatic,All Wheel Drive
2009 Lexus RX 350,JTJHK31U092858888,Lexus,RX 350,2009,13995,103335,Maroon,,Goben Cars,608-216-0500,Automatic,All Wheel Drive
2009 Lexus RX 350,JTJHK31U192061856,Lexus,RX 350,2009,15995,76186,Brown,,Goben Cars,608-216-0500,Automatic,All Wheel Drive
2008 Lexus RX 350,2T2HK31U38C075725,Lexus,RX 350,2008,11995,102311,Black,,Goben Cars,608-216-0500,Automatic,All Wheel Drive
2005 Lexus LS,JTHBN36F155007748,Lexus,LS 430,2005,9995,147405,Black,,Goben Cars,608-216-0500,Automatic,Rear Wheel Drive
2014 Lexus IS 250,JTHCF1D21E5004922,Lexus,IS 250,2014,22995,59388,Silver,,Goben Cars,608-216-0500,Automatic,All Wheel Drive
2009 LEXUS RX 350 SUV V6,2T2HK31U59C098795,Lexus,RX 350,2009,11563,168159,Black,,Metro Ford,(888) 750-5842,Automatic,All Wheel Drive
2013 LEXUS RX 350 SUV V6,2T2BK1BA4DC200689,Lexus,RX 350,2013,23563,66557,Silver Lining Metallic,LIGHT GRAY W SEMI-ANILINE LEATHER SEAT TRIM,Metro Ford,(888) 750-5842,Automatic,All Wheel Drive
2001 Lexus LS 430 Sedan,JTHBN30FX10035838,Lexus,LS 430,2001,6990,123152,Gold,Leather,Mroczek Motors,866-744-1230,Automatic,Rear Wheel Drive
2015 Lexus RX 350 350,2T2BK1BA7FC290407,Lexus,RX 350,2015,26000,61823,Nebula Gray Pearl,Light Gray,Dane County Chrysler Dodge Jeep RAM,888-217-4833 888-708-8920,Automatic,All Wheel Drive
2015 Lexus RX 350 350,2T2BK1BA5FC313523,Lexus,RX 350,2015,26200,50153,Deep Sea Mica,Saddle Tan,Dane County Chrysler Dodge Jeep RAM,888-217-4833 888-708-8920,Automatic,All Wheel Drive
2016 Lexus RX 350 350,2T2BZMCA5GC036272,Lexus,RX 350,2016,39800,7537,Ultra White,Noble Brown,Dane County Chrysler Dodge Jeep RAM,888-217-4833 888-708-8920,Automatic,All Wheel Drive
2016 Lexus NX 200t 200t,JTJBARBZ6G2075707,Lexus,NX 200t,2016,33831,4860,Black,Black,Dane County Chrysler Dodge Jeep RAM,888-217-4833 888-708-8920,Automatic,All Wheel Drive
Pre-Owned 2010 Lexus ES 350,JTHBK1EG0A2359772,Lexus,ES 350,2010,,91810,Gray,Black,Francois Sales & Service,608-424-3375,Automatic,Front Wheel Drive
Pre-Owned 2010 Lexus RX 350 AWD,2T2BK1BA9AC063860,Lexus,RX 350,2010,15788,126001,Gray,Black,Francois Sales & Service,608-424-3375,Automatic,All Wheel Drive
2011 LEXUS LS 460 Base,JTHCL5EF7B5009801,Lexus,LS 460,2011,25500,62296,Silver,-,Ness Auto Sales,888-479-7388,Automatic,All Wheel Drive
Used 2015 Lexus IS 250 4dr Sport Sdn AWD,JTHCF1D24F5020145,Lexus,IS 250,2015,28972,34091,Black,Black,Symdon Motors,(877) 290-0605,Automatic,All Wheel Drive
Used 2007 Lexus ES 350,JTHBJ46G072010946,Lexus,ES 350,2007,8900,124258,Black,Cashmere,Brodhead Chevrolet Buick,608-897-2166,Automatic,Front Wheel Drive
2015 Lexus RX 350,2T2BK1BA6FC274716,Lexus,RX 350,2015,25789,59698,Gray,Saddle Tan,Kearns Motor Car,920-674-6777,Automatic,All Wheel Drive
2015 Lexus RX 350,2T2ZK1BA8FC178147,Lexus,RX 350,2015,25249,52066,White,Saddle Tan,Kearns Motor Car,920-674-6777,Automatic,Front Wheel Drive
Used 2015 Lexus RX 350 AWD 4dr,2T2BK1BA8FC286804,Lexus,RX 350,2015,27997,30431,Silver Lining Metallic,Black,Don Larson Chevrolet Buick Cadillac GMC,(608) 448-3364,Automatic,All Wheel Drive
2010 LEXUS RX 350 SUV 6-Cylinder DOHC VVT-i 24V,2T2BK1BA9AC002508,Lexus,RX 350,2010,13935,118787,Cerulean Blue Metallic,BLACK,Glacier Valley Ford Inc.,(888) 921-2221,Automatic,All Wheel Drive
2011 Lexus LS 460 AWD,JTHCL5EF3B5010203,Lexus,LS 460,2011,18995,108887,Gray,Light Gray Leather,Oliver Motors,866-765-5419,Automatic,All Wheel Drive
Used 2015 Lexus RX 350 AWD 4dr,2T2BK1BA9FC297021,Lexus,RX 350,2015,33995,27651,Starfire Pearl,Light Gray,Ruda Chevrolet,(866) 486-5541,Automatic,All Wheel Drive
